p0,T,tauAlpha,source
3.850,0.039,1.183304528159174,data_subArrhenius_2026_06_05.nb
3.850,0.016,5.598944530254805,data_subArrhenius_2026_06_05.nb
3.850,0.01,8.869681254159824,data_subArrhenius_2026_06_05.nb
3.850,0.005,23.06915604814413,data_subArrhenius_2026_06_05.nb
3.850,0.00385,33.47216517177899,data_subArrhenius_2026_06_05.nb
3.850,0.0025,52.13604938957775,data_subArrhenius_2026_06_05.nb
3.850,0.002,70.26110474336024,data_subArrhenius_2026_06_05.nb
3.850,0.001,184.8389219330216,data_subArrhenius_2026_06_05.nb
3.850,0.00067,318.2288353798615,additionalTauAlpha_2026_06_06.csv
3.850,0.0005,469.9966551958508,data_subArrhenius_2026_06_05.nb
3.850,0.00033,928.9141411257335,data_subArrhenius_2026_06_05.nb
3.850,0.00025,1388.857338855876,data_subArrhenius_2026_06_05.nb
3.850,0.00018,2304.613440869596,additionalTauAlpha_2026_06_06.csv
3.850,0.00014,3733.79657262468,data_subArrhenius_2026_06_05.nb
3.850,0.000091,7188.02119069439,data_subArrhenius_2026_06_05.nb
3.850,0.000077,9930.440141161429,data_subArrhenius_2026_06_05.nb
3.850,0.000054,20363.41205039115,data_subArrhenius_2026_06_05.nb
3.850,0.000045,28926.20974169952,data_subArrhenius_2026_06_05.nb
3.850,0.000036,40853.65133249554,data_subArrhenius_2026_06_05.nb
3.825,0.063,0.7900326516170211,data_subArrhenius_2026_06_05.nb
3.825,0.039,2.289574011305053,data_subArrhenius_2026_06_05.nb
3.825,0.03105,2.958250485864885,data_subArrhenius_2026_06_05.nb
3.825,0.016,8.175170221727768,data_subArrhenius_2026_06_05.nb
3.825,0.01,18.62429236287473,data_subArrhenius_2026_06_05.nb
3.825,0.008,26.7057065030922,data_subArrhenius_2026_06_05.nb
3.825,0.0063,38.93262330160253,data_subArrhenius_2026_06_05.nb
3.825,0.005,53.82663082998007,data_subArrhenius_2026_06_05.nb
3.825,0.00385,85.98952898577276,data_subArrhenius_2026_06_05.nb
3.825,0.0031,116.9611974915523,data_subArrhenius_2026_06_05.nb
3.825,0.0025,170.2691062946824,data_subArrhenius_2026_06_05.nb
3.825,0.0022,191.1388688466946,additionalTauAlpha_2026_06_06.csv
3.825,0.002,249.9876019248945,data_subArrhenius_2026_06_05.nb
3.825,0.0015,477.7855851529326,data_subArrhenius_2026_06_05.nb
3.825,0.0013,527.2943294482769,additionalTauAlpha_2026_06_06.csv
3.825,0.001,1165.829361505897,data_subArrhenius_2026_06_05.nb
3.825,0.00067,4460.353833504053,data_subArrhenius_2026_06_05.nb
3.825,0.0005,13046.25290688337,data_subArrhenius_2026_06_05.nb
3.825,0.00033,27763.33086090322,additionalTauAlpha_2026_06_06.csv
3.825,0.00025,52515.65773826642,additionalTauAlpha_2026_06_06.csv
3.825,0.00018,83145.15015129189,additionalTauAlpha_2026_06_06.csv
3.825,0.00014,122939.8395667507,additionalTauAlpha_2026_06_06.csv
3.825,0.0001,156386.9286890837,additionalTauAlpha_2026_06_06.csv
3.815,0.063,0.8746718197576249,additionalTauAlpha_2026_06_06.csv
3.815,0.025,3.497855621381444,additionalTauAlpha_2026_06_06.csv
3.815,0.01,17.38966390729475,additionalTauAlpha_2026_06_06.csv
3.815,0.0063,40.53126014447913,additionalTauAlpha_2026_06_06.csv
3.815,0.005,63.18591917732393,additionalTauAlpha_2026_06_06.csv
3.815,0.00385,123.0056537350757,additionalTauAlpha_2026_06_06.csv
3.815,0.0028,245.2452836100766,additionalTauAlpha_2026_06_06.csv
3.815,0.0022,473.6304664843519,additionalTauAlpha_2026_06_06.csv
3.815,0.0015,1783.428986975867,additionalTauAlpha_2026_06_06.csv
3.815,0.0012,4554.685221673389,additionalTauAlpha_2026_06_06.csv
3.815,0.001,9590.437074312706,additionalTauAlpha_2026_06_06.csv
3.815,0.0008,25243.92624307873,additionalTauAlpha_2026_06_06.csv
3.815,0.00067,39867.66555424012,additionalTauAlpha_2026_06_06.csv
3.800,0.063,0.8123588919200075,data_subArrhenius_2026_06_05.nb
3.800,0.039,2.764809517861429,data_subArrhenius_2026_06_05.nb
3.800,0.03105,3.926947303972556,data_subArrhenius_2026_06_05.nb
3.800,0.025,5.532245798634841,data_subArrhenius_2026_06_05.nb
3.800,0.016,13.32673763266526,data_subArrhenius_2026_06_05.nb
3.800,0.01,38.70700460286636,data_subArrhenius_2026_06_05.nb
3.800,0.008,61.57546102366048,data_subArrhenius_2026_06_05.nb
3.800,0.0063,113.7016162386507,data_subArrhenius_2026_06_05.nb
3.800,0.005,225.1106579843973,data_subArrhenius_2026_06_05.nb
3.800,0.00385,550.157473723199,data_subArrhenius_2026_06_05.nb
3.800,0.0031,1423.112663806807,data_subArrhenius_2026_06_05.nb
3.800,0.0028,2571.701791242669,data_subArrhenius_2026_06_05.nb
3.800,0.0025,4591.206662582439,data_subArrhenius_2026_06_05.nb
3.800,0.0022,8306.584752444407,data_subArrhenius_2026_06_05.nb
3.800,0.002,13357.57776429996,additionalTauAlpha_2026_06_06.csv
3.800,0.0018,20354.12033883563,additionalTauAlpha_2026_06_06.csv
3.800,0.0016,44857.43365079655,additionalTauAlpha_2026_06_06.csv
3.775,0.03105,4.692869734543438,data_subArrhenius_2026_06_05.nb
3.775,0.025,7.154118682571008,data_subArrhenius_2026_06_05.nb
3.775,0.02,12.90859889256897,data_subArrhenius_2026_06_05.nb
3.775,0.016,23.32285883787096,data_subArrhenius_2026_06_05.nb
3.775,0.012,63.67532549552178,data_subArrhenius_2026_06_05.nb
3.775,0.01,134.4673617873331,data_subArrhenius_2026_06_05.nb
3.775,0.009,215.0502631891484,data_subArrhenius_2026_06_05.nb
3.775,0.008,530.794939576096,data_subArrhenius_2026_06_05.nb
3.775,0.0075,742.093995695809,data_subArrhenius_2026_06_05.nb
3.775,0.007,1380.498313664743,data_subArrhenius_2026_06_05.nb
3.775,0.0063,2856.371850023293,data_subArrhenius_2026_06_05.nb
3.775,0.0056,7227.75083967605,data_subArrhenius_2026_06_05.nb
3.775,0.0054,8665.801909860707,data_subArrhenius_2026_06_05.nb
3.750,0.063,1.926290050099505,data_subArrhenius_2026_06_05.nb
3.750,0.039,4.287542146945071,data_subArrhenius_2026_06_05.nb
3.750,0.03105,8.229903335418154,data_subArrhenius_2026_06_05.nb
3.750,0.025,13.32342057517295,data_subArrhenius_2026_06_05.nb
3.750,0.02,25.46127231329132,data_subArrhenius_2026_06_05.nb
3.750,0.016,65.05251101056447,data_subArrhenius_2026_06_05.nb
3.750,0.014,175.2063718259274,data_subArrhenius_2026_06_05.nb
3.750,0.013,243.7109584399479,additionalTauAlpha_2026_06_06.csv
3.750,0.012,622.3030392633742,data_subArrhenius_2026_06_05.nb
3.750,0.0115,913.2265518556721,additionalTauAlpha_2026_06_06.csv
3.750,0.011,1311.405074775784,data_subArrhenius_2026_06_05.nb
3.750,0.0105,2655.025680274773,additionalTauAlpha_2026_06_06.csv
3.750,0.01,4715.68147756796,data_subArrhenius_2026_06_05.nb
3.750,0.0096,7197.07876080598,additionalTauAlpha_2026_06_06.csv
3.750,0.0093,10694.48826883848,data_subArrhenius_2026_06_05.nb
