p0,T,tauAlpha,source
3.750,0.063,1.926290050099505,data_subArrhenius_2026_06_05.nb
3.750,0.039,4.287542146945071,data_subArrhenius_2026_06_05.nb
3.750,0.03105,8.229903335418154,data_subArrhenius_2026_06_05.nb
3.750,0.025,13.32342057517295,data_subArrhenius_2026_06_05.nb
3.750,0.02,25.46127231329132,data_subArrhenius_2026_06_05.nb
3.750,0.016,65.05251101056447,data_subArrhenius_2026_06_05.nb
3.750,0.014,175.2063718259274,data_subArrhenius_2026_06_05.nb
3.750,0.013,243.7109584399479,additionalTauAlpha_2026_06_06.csv
3.750,0.012,622.3030392633742,data_subArrhenius_2026_06_05.nb
3.750,0.0115,913.2265518556721,additionalTauAlpha_2026_06_06.csv
3.750,0.011,1311.405074775784,data_subArrhenius_2026_06_05.nb
3.750,0.0105,2655.025680274773,additionalTauAlpha_2026_06_06.csv
3.750,0.01,4715.68147756796,data_subArrhenius_2026_06_05.nb
3.750,0.0096,7197.07876080598,additionalTauAlpha_2026_06_06.csv
3.750,0.0093,10694.48826883848,data_subArrhenius_2026_06_05.nb
