p0,T,q,tau_alpha,crossed,n_idx
3.750,0.1507937,6.7,11.635848,1,10
3.750,0.09518981,6.7,21.27224,1,10
3.750,0.05939491,6.7,44.553288,1,10
3.750,0.03830322,6.7,101.89418,1,10
3.750,0.02871607,6.7,206.67639,1,10
3.750,0.021317,6.7,508.55815,1,10
3.750,0.0173726,6.7,1413.645,1,10
3.750,0.01513379,6.7,4377.9779,1,10
3.750,0.01508705,6.7,4766.5206,1,10
3.750,0.01499281,6.7,9527.7705,1,10
3.775,0.12396405,6.7,13.589262,1,10
3.775,0.07946596,6.7,26.324467,1,10
3.775,0.05356109,6.7,46.575435,1,10
3.775,0.03610087,6.7,90.050184,1,10
3.775,0.02445457,6.7,210.90354,1,10
3.775,0.0182283,6.7,492.04162,1,10
3.775,0.01531428,6.7,918.21073,1,10
3.775,0.01305204,6.7,2526.5953,1,10
3.775,0.01235791,6.7,3820.9213,1,10
3.775,0.01135263,6.7,14776.634,1,10
3.800,0.11665069,6.7,13.810792,1,10
3.800,0.08400365,6.7,20.892754,1,10
3.800,0.04493352,6.7,51.751556,1,10
3.800,0.03119342,6.7,95.842545,1,10
3.800,0.01973598,6.7,246.74936,1,10
3.800,0.01365467,6.7,611.17624,1,10
3.800,0.01157466,6.7,1046.2033,1,10
3.800,0.00961925,6.7,2563.9059,1,10
3.800,0.00876128,6.7,4187.0729,1,10
3.800,0.00796442,6.7,10499.208,1,10
3.815,0.10562311,6.7,14.432893,1,10
3.815,0.09749689,6.7,16.614264,1,10
3.815,0.05607261,6.7,35.604608,1,10
3.815,0.03205711,6.7,81.621557,1,10
3.815,0.02008463,6.7,184.4078,1,10
3.815,0.01273808,6.7,492.43971,1,10
3.815,0.00881879,6.7,1313.689,1,10
3.815,0.00829312,6.7,1894.9246,1,10
3.815,0.0060978,6.7,8195.6274,1,10
3.815,0.00526263,6.7,35887.353,1,10
3.825,0.10321059,6.7,15.38413,1,10
3.825,0.06529403,6.7,26.640221,1,10
3.825,0.04506436,6.7,44.887759,1,10
3.825,0.02759231,6.7,95.006145,1,10
3.825,0.01691592,6.7,211.69874,1,10
3.825,0.01083597,6.7,539.95549,1,10
3.825,0.0085038,6.7,1001.6981,1,10
3.825,0.00687376,6.7,2058.4355,1,10
3.825,0.0057681,6.7,3660.2208,1,10
3.825,0.00260712,6.7,nan,0,10
3.850,0.0988608,6.7,14.638627,1,10
3.850,0.0636712,6.7,24.941495,1,10
3.850,0.04100738,6.7,42.432038,1,10
3.850,0.0239427,6.7,94.143888,1,10
3.850,0.01212699,6.7,250.20962,1,10
3.850,0.00826466,6.7,474.84016,1,10
3.850,0.00476227,6.7,1274.6963,1,10
3.850,0.00373261,6.7,1987.1047,1,10
3.850,0.00227471,6.7,6251.559,1,10
3.850,0.00163685,6.7,12025.637,1,10
3.750,0.16952498,6.7,9.2872371,1,10
3.750,0.016527131,6.7,2143.7004,1,10
3.775,0.13638536,6.7,12.094952,1,10
3.800,0.13345388,6.7,11.495006,1,10
3.815,0.12622191,6.7,12.188802,1,10
3.815,0.0068171315,6.7,5369.5666,1,10
3.825,0.12355752,6.7,11.995823,1,10
3.850,0.11421505,6.7,11.95534,1,10
3.850,0.0025044372,6.7,4982.8479,1,10
