p0,T,share,sigma,fs_min,fs_max,n_tail,A,A_std,beta,beta_std,tau_kww,tau_kww_std,tau_1e,crossed_1e
3.75,0.01499281,global,std,0.001,0.45,24,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,21900.537035997888,1783.7751209959004,9527.770541326972,1
3.75,0.01508705,global,std,0.001,0.45,21,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,11073.787564552329,505.35062998392874,4766.520642987879,1
3.75,0.01513379,global,std,0.001,0.45,19,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,10378.75661993094,607.7773347145953,4377.977938192124,1
3.75,0.016527131,global,std,0.001,0.45,26,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,5090.47860778848,235.55504484262397,2143.700385868317,1
3.75,0.0173726,global,std,0.001,0.45,21,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,3263.8967756579955,118.24630001270421,1413.6449986815564,1
3.75,0.021317,global,std,0.001,0.45,25,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,1053.368319199542,20.00038864822658,508.5581545391624,1
3.75,0.02871607,global,std,0.001,0.45,24,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,411.12352691516605,5.4825229157085085,206.6763945230128,1
3.75,0.03830322,global,std,0.001,0.45,28,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,201.16518116536562,3.192829211586852,101.89417929762098,1
3.75,0.05939491,global,std,0.001,0.45,25,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,90.460130412889,1.259617284204478,44.5532876630397,1
3.75,0.09518981,global,std,0.001,0.45,29,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,46.56414027665583,0.6993042024251235,21.272239919176446,1
3.75,0.1507937,global,std,0.001,0.45,26,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,27.05685028092324,0.3201910214809449,11.6358481335981,1
3.75,0.16952498,global,std,0.001,0.45,27,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,23.181220944579046,0.32848918297638946,9.287237119097616,1
3.775,0.01135263,global,std,0.001,0.45,24,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,31451.630376806144,1686.3045031707895,14776.633662871482,1
3.775,0.01235791,global,std,0.001,0.45,27,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,9506.02654130801,490.7430028917453,3820.9212577919925,1
3.775,0.01305204,global,std,0.001,0.45,24,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,6119.1585326381655,300.1208352642858,2526.5953127706935,1
3.775,0.01531428,global,std,0.001,0.45,23,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,1930.0295114107134,52.68858543896625,918.210728983561,1
3.775,0.0182283,global,std,0.001,0.45,27,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,1020.9041920254328,20.462979861043088,492.04161974862177,1
3.775,0.02445457,global,std,0.001,0.45,23,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,422.7441923045925,7.967403599588078,210.90354350223723,1
3.775,0.03610087,global,std,0.001,0.45,24,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,180.77898635078736,2.6580423118474887,90.05018386213855,1
3.775,0.05356109,global,std,0.001,0.45,25,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,93.7242912886333,1.2578363189434156,46.57543477792754,1
3.775,0.07946596,global,std,0.001,0.45,30,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,54.23559206480278,0.6603253230713437,26.324467425857627,1
3.775,0.12396405,global,std,0.001,0.45,30,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,30.802215846483495,0.4202352353551226,13.589261615143599,1
3.775,0.13638536,global,std,0.001,0.45,30,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,27.649350167676275,0.3488709403883215,12.094952358030046,1
3.8,0.00796442,global,std,0.001,0.45,24,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,26403.32564900959,1300.2597921067486,10499.207908601637,1
3.8,0.00876128,global,std,0.001,0.45,21,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,9395.63504133249,335.22745019136374,4187.072910547397,1
3.8,0.00961925,global,std,0.001,0.45,22,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,5818.5252658224645,168.43195306050552,2563.905949399995,1
3.8,0.01157466,global,std,0.001,0.45,22,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,2323.8520551063984,48.023214985664566,1046.2033344135532,1
3.8,0.01365467,global,std,0.001,0.45,24,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,1265.2893960804356,21.188784615899262,611.1762380552319,1
3.8,0.01973598,global,std,0.001,0.45,23,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,474.4344726048501,6.751676878197205,246.74935902771801,1
3.8,0.03119342,global,std,0.001,0.45,26,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,188.0183591014325,2.654592930435265,95.84254460877922,1
3.8,0.04493352,global,std,0.001,0.45,25,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,105.32448713728783,1.49927305233283,51.75155606770126,1
3.8,0.08400365,global,std,0.001,0.45,28,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,46.13941945509179,0.5915501495123755,20.892754214502677,1
3.8,0.11665069,global,std,0.001,0.45,27,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,31.67156760721476,0.43070931090334336,13.810792383785401,1
3.8,0.13345388,global,std,0.001,0.45,32,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,26.60323541422215,0.3673524042157917,11.495005819392667,1
3.815,0.00526263,global,std,0.001,0.45,17,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,75650.12865168285,6303.940193756081,35887.35303146419,1
3.815,0.0060978,global,std,0.001,0.45,21,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,19364.614058546398,1175.355503671143,8195.627444818654,1
3.815,0.0068171315,global,std,0.001,0.45,27,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,13069.99198059793,605.1263241176357,5369.56657095199,1
3.815,0.00829312,global,std,0.001,0.45,21,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,4171.850309696623,119.2597062836852,1894.924616266345,1
3.815,0.00881879,global,std,0.001,0.45,20,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,2931.4539932750513,72.10862782903139,1313.6890122488937,1
3.815,0.01273808,global,std,0.001,0.45,26,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,1004.2976991501438,20.817057305916517,492.4397090127815,1
3.815,0.02008463,global,std,0.001,0.45,23,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,362.12067896399384,6.113251844608553,184.40780485622346,1
3.815,0.03205711,global,std,0.001,0.45,26,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,162.2262459427924,2.4836792083796966,81.62155687514046,1
3.815,0.05607261,global,std,0.001,0.45,30,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,73.08765300235517,0.8928634956032472,35.60460752918553,1
3.815,0.09749689,global,std,0.001,0.45,28,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,36.732878795964695,0.45888513772765527,16.614264063838668,1
3.815,0.10562311,global,std,0.001,0.45,27,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,33.55303473233952,0.43496744636212376,14.432892737292947,1
3.815,0.12622191,global,std,0.001,0.45,31,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,28.66001928135998,0.40922366569654683,12.188801541764635,1
3.825,0.0057681,global,std,0.001,0.45,21,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,8160.228487401293,213.39106850944336,3660.2208331397524,1
3.825,0.00687376,global,std,0.001,0.45,20,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,4382.06735761594,141.77788037244918,2058.435546911986,1
3.825,0.0085038,global,std,0.001,0.45,22,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,2061.461081882355,38.86170011877596,1001.698114396932,1
3.825,0.01083597,global,std,0.001,0.45,25,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,1117.6081342426357,21.507873511246384,539.9554864565582,1
3.825,0.01691592,global,std,0.001,0.45,23,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,429.9739949158372,8.243616653313842,211.69874032061784,1
3.825,0.02759231,global,std,0.001,0.45,27,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,189.3672525927029,2.473956676695924,95.0061445568572,1
3.825,0.04506436,global,std,0.001,0.45,23,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,90.68005703227496,1.231032994121274,44.887759166884116,1
3.825,0.06529403,global,std,0.001,0.45,31,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,57.12713498013733,0.7575610993775639,26.640221493662917,1
3.825,0.10321059,global,std,0.001,0.45,30,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,34.46046507979914,0.4152918353605503,15.384130308921907,1
3.825,0.12355752,global,std,0.001,0.45,31,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,28.131535030729026,0.37125389527720554,11.99582341041122,1
3.85,0.00163685,global,std,0.001,0.45,22,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,28057.94103449706,1277.383396384093,12025.636562792519,1
3.85,0.00227471,global,std,0.001,0.45,19,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,13932.54310519374,436.453910006194,6251.55902856342,1
3.85,0.0025044372,global,std,0.001,0.45,26,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,11294.300016610447,315.9297050340965,4982.847891115457,1
3.85,0.00373261,global,std,0.001,0.45,20,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,4278.843478183824,88.68485098282906,1987.1046621500386,1
3.85,0.00476227,global,std,0.001,0.45,20,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,2619.1845796327193,55.83687348911518,1274.696258855955,1
3.85,0.00826466,global,std,0.001,0.45,23,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,985.0380301516986,17.943849815698268,474.84015866037623,1
3.85,0.01212699,global,std,0.001,0.45,24,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,510.9841061087597,9.247050943130672,250.2096198604081,1
3.85,0.0239427,global,std,0.001,0.45,22,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,183.88910762854465,2.8481836917170296,94.14388800129039,1
3.85,0.04100738,global,std,0.001,0.45,28,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,88.26556719430255,1.1473988065659317,42.43203786305973,1
3.85,0.0636712,global,std,0.001,0.45,27,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,52.985712487933995,0.7098682298353698,24.941494527201556,1
3.85,0.0988608,global,std,0.001,0.45,32,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,33.843222928352574,0.4234988417664377,14.638627011826316,1
3.85,0.11421505,global,std,0.001,0.45,30,0.5868697150519127,0.003380061084564064,0.9731902744170262,0.006394212499941954,29.1457794505901,0.4742898699490652,11.955339916484318,1
