p0,T,batch,tauBlock,dt,C_mean,C_std,C_sem,nReplica
3.750,0.16952498,fill,1000,0,6.7640326e-05,1.6017402e-06,5.0651474e-07,10
3.750,0.16952498,fill,1000,0.01,6.761428e-05,1.6016699e-06,5.0649249e-07,10
3.750,0.16952498,fill,1000,0.02,6.7536662e-05,1.6015888e-06,5.0646685e-07,10
3.750,0.16952498,fill,1000,0.03,6.7408005e-05,1.6014978e-06,5.0643807e-07,10
3.750,0.16952498,fill,1000,0.04,6.7229124e-05,1.6013977e-06,5.0640641e-07,10
3.750,0.16952498,fill,1000,0.05,6.7001091e-05,1.6012892e-06,5.0637212e-07,10
3.750,0.16952498,fill,1000,0.06,6.6725203e-05,1.6011738e-06,5.0633562e-07,10
3.750,0.16952498,fill,1000,0.07,6.6402969e-05,1.6010523e-06,5.0629718e-07,10
3.750,0.16952498,fill,1000,0.08,6.6036079e-05,1.6009258e-06,5.062572e-07,10
3.750,0.16952498,fill,1000,0.09,6.562639e-05,1.6007961e-06,5.0621618e-07,10
3.750,0.16952498,fill,1000,0.1,6.5175905e-05,1.6006646e-06,5.0617459e-07,10
3.750,0.16952498,fill,1000,0.11,6.4686751e-05,1.6005329e-06,5.0613294e-07,10
3.750,0.16952498,fill,1000,0.12,6.4161161e-05,1.6004029e-06,5.0609183e-07,10
3.750,0.16952498,fill,1000,0.13,6.3601456e-05,1.6002761e-06,5.0605172e-07,10
3.750,0.16952498,fill,1000,0.14,6.3010028e-05,1.6001544e-06,5.0601326e-07,10
3.750,0.16952498,fill,1000,0.15,6.238932e-05,1.6000397e-06,5.0597698e-07,10
3.750,0.16952498,fill,1000,0.16,6.1735738e-05,1.5999331e-06,5.0594327e-07,10
3.750,0.16952498,fill,1000,0.18,6.03716e-05,1.5997568e-06,5.0588753e-07,10
3.750,0.16952498,fill,1000,0.2,5.8930309e-05,1.5996412e-06,5.0585095e-07,10
3.750,0.16952498,fill,1000,0.22,5.7431632e-05,1.5996055e-06,5.0583966e-07,10
3.750,0.16952498,fill,1000,0.24,5.5894757e-05,1.5996669e-06,5.0585908e-07,10
3.750,0.16952498,fill,1000,0.26,5.4338035e-05,1.5998396e-06,5.0591372e-07,10
3.750,0.16952498,fill,1000,0.28,5.2778764e-05,1.6001365e-06,5.060076e-07,10
3.750,0.16952498,fill,1000,0.3,5.1233031e-05,1.6005668e-06,5.0614366e-07,10
3.750,0.16952498,fill,1000,0.32,4.9725889e-05,1.6010664e-06,5.0630166e-07,10
3.750,0.16952498,fill,1000,0.36,4.6833046e-05,1.6026426e-06,5.068001e-07,10
3.750,0.16952498,fill,1000,0.4,4.4191445e-05,1.6047565e-06,5.0746858e-07,10
3.750,0.16952498,fill,1000,0.44,4.1863877e-05,1.6073409e-06,5.0828582e-07,10
3.750,0.16952498,fill,1000,0.48,3.9888143e-05,1.6103239e-06,5.0922914e-07,10
3.750,0.16952498,fill,1000,0.52,3.8278416e-05,1.6136421e-06,5.1027844e-07,10
3.750,0.16952498,fill,1000,0.56,3.702766e-05,1.6172318e-06,5.1141358e-07,10
3.750,0.16952498,fill,1000,0.6,3.6110977e-05,1.6210194e-06,5.1261136e-07,10
3.750,0.16952498,fill,1000,0.64,3.5551364e-05,1.6247367e-06,5.1378684e-07,10
3.750,0.16952498,fill,1000,0.72,3.4969533e-05,1.6319823e-06,5.1607813e-07,10
3.750,0.16952498,fill,1000,0.8,3.4951655e-05,1.636657e-06,5.1755638e-07,10
3.750,0.16952498,fill,1000,0.88,3.5123393e-05,1.6356657e-06,5.1724291e-07,10
3.750,0.16952498,fill,1000,0.96,3.5233518e-05,1.6269e-06,5.1447096e-07,10
3.750,0.16952498,fill,1000,1.04,3.5183058e-05,1.6107235e-06,5.0935549e-07,10
3.750,0.16952498,fill,1000,1.12,3.5004429e-05,1.590068e-06,5.0282366e-07,10
3.750,0.16952498,fill,1000,1.2,3.4809002e-05,1.5692086e-06,4.9622733e-07,10
3.750,0.16952498,fill,1000,1.28,3.4778992e-05,1.5518481e-06,4.9073745e-07,10
3.750,0.16952498,fill,1000,1.44,3.528554e-05,1.5310965e-06,4.8417523e-07,10
3.750,0.16952498,fill,1000,1.6,3.6574137e-05,1.5244348e-06,4.8206863e-07,10
3.750,0.16952498,fill,1000,1.76,3.7985995e-05,1.5206875e-06,4.808836e-07,10
3.750,0.16952498,fill,1000,1.92,3.8769297e-05,1.5081335e-06,4.7691367e-07,10
3.750,0.16952498,fill,1000,2.08,3.8600544e-05,1.4868298e-06,4.7017686e-07,10
3.750,0.16952498,fill,1000,2.24,3.7686481e-05,1.4673694e-06,4.6402296e-07,10
3.750,0.16952498,fill,1000,2.4,3.6494671e-05,1.4532333e-06,4.5955273e-07,10
3.750,0.16952498,fill,1000,2.56,3.5423418e-05,1.4456116e-06,4.5714254e-07,10
3.750,0.16952498,fill,1000,2.88,3.364506e-05,1.4861095e-06,4.6994909e-07,10
3.750,0.16952498,fill,1000,3.2,3.260305e-05,1.5457804e-06,4.8881869e-07,10
3.750,0.16952498,fill,1000,3.52,3.2733655e-05,1.5161158e-06,4.7943791e-07,10
3.750,0.16952498,fill,1000,3.84,3.3392377e-05,1.4943086e-06,4.7254186e-07,10
3.750,0.16952498,fill,1000,4.16,3.3445453e-05,1.527757e-06,4.8311918e-07,10
3.750,0.16952498,fill,1000,4.48,3.2580697e-05,1.5802276e-06,4.9971186e-07,10
3.750,0.16952498,fill,1000,4.8,3.1365045e-05,1.5722609e-06,4.9719254e-07,10
3.750,0.16952498,fill,1000,5.12,3.0676717e-05,1.4751954e-06,4.6649776e-07,10
