p0,T,q_peak,S_peak
3.750,0.1507937,6.534394,2.078862
3.750,0.09518981,6.581735,2.432269
3.750,0.05939491,6.671597,2.820969
3.750,0.03830322,6.601987,3.372658
3.750,0.02871607,6.672037,3.844764
3.750,0.021317,6.705799,4.608783
3.750,0.0173726,6.692933,5.867269
3.750,0.01513379,6.762233,8.402661
3.750,0.01508705,6.697258,8.034738
3.750,0.01499281,6.747611,10.858854
3.775,0.12396405,6.586679,2.174484
3.775,0.07946596,6.675013,2.491136
3.775,0.05356109,6.619805,2.851738
3.775,0.03610087,6.671522,3.223061
3.775,0.02445457,6.646044,3.852906
3.775,0.0182283,6.725546,4.617404
3.775,0.01531428,6.711054,5.156821
3.775,0.01305204,6.761719,6.294727
3.775,0.01235791,6.718534,7.260713
3.775,0.01135263,6.753183,12.213605
3.800,0.11665069,6.637870,2.149269
3.800,0.08400365,6.579835,2.380831
3.800,0.04493352,6.636748,2.911154
3.800,0.03119342,6.712753,3.283729
3.800,0.01973598,6.641391,3.847475
3.800,0.01365467,6.724705,4.656185
3.800,0.01157466,6.686652,4.817738
3.800,0.00961925,6.711375,6.060702
3.800,0.00876128,6.720322,6.387716
3.800,0.00796442,6.732747,11.211539
3.815,0.10562311,6.526177,2.222353
3.815,0.09749689,6.667212,2.245749
3.815,0.05607261,6.671832,2.672109
3.815,0.03205711,6.640337,3.153081
3.815,0.02008463,6.669281,3.631867
3.815,0.01273808,6.720669,4.277244
3.815,0.00881879,6.719014,5.184756
3.815,0.00829312,6.764213,5.583519
3.815,0.0060978,6.762266,7.200332
3.815,0.00526263,6.756045,11.316685
3.825,0.10321059,6.521315,2.230898
3.825,0.06529403,6.630410,2.496928
3.825,0.04506436,6.633744,2.783141
3.825,0.02759231,6.641619,3.170657
3.825,0.01691592,6.673596,3.749935
3.825,0.01083597,6.722995,4.371745
3.825,0.0085038,6.715346,4.679299
3.825,0.00687376,6.719363,5.417227
3.825,0.0057681,6.688002,6.015822
3.825,0.00260712,6.746325,16.945252
3.850,0.0988608,6.541668,2.182431
3.850,0.0636712,6.721914,2.444478
3.850,0.04100738,6.620586,2.798184
3.850,0.0239427,6.632303,3.109688
3.850,0.01212699,6.632506,3.707420
3.850,0.00826466,6.739219,4.064954
3.850,0.00476227,6.736637,4.559114
3.850,0.00373261,6.742341,4.997061
3.850,0.00227471,6.754863,5.944629
3.850,0.00163685,6.760480,6.388897
3.750,0.16952498,6.444641,2.028399
3.750,0.016527131,6.751012,6.362398
3.775,0.13638536,6.724572,2.127456
3.800,0.13345388,6.631578,2.088099
3.815,0.12622191,6.607182,2.079368
3.815,0.0068171315,6.696136,6.768867
3.825,0.12355752,6.627609,2.137247
3.850,0.11421505,6.454980,2.088575
3.850,0.0025044372,6.708281,5.482800
