p0_voronoi,T,mean_q_voronoi,p0_vertex_match,how,n_vertex_p0_at_T,tau_voronoi,tau_vertex_match,tau_ratio_v_over_V
3.75,0.0096,3.788348643714286,,q_outside_vertex,5,7197.078760805976,,
3.75,0.0105,3.7914929289374997,,q_outside_vertex,5,2655.025680274772,,
3.75,0.011,3.7940949131868127,,q_outside_vertex,6,1311.4050747757838,,
3.75,0.0115,3.7974532226629214,,q_outside_vertex,6,913.2265518556724,,
3.75,0.012,3.79903720252809,,q_outside_vertex,6,622.3030392633744,,
3.75,0.013,3.8044703110561793,,q_outside_vertex,6,243.71095843994792,,
3.75,0.014,3.810449934191011,,q_outside_vertex,6,175.2063718259274,,
3.75,0.016,3.81676377377528,,q_outside_vertex,6,65.0525110105645,,
3.75,0.02,3.828666776505618,,q_outside_vertex,6,25.461272313291325,,
3.75,0.025,3.838962372573034,,q_outside_vertex,6,13.32342057517295,,
3.75,0.03105,3.849883514157303,,q_outside_vertex,6,8.229903335418154,,
3.75,0.039,3.8613552738314607,,q_outside_vertex,6,4.287542146945071,,
3.75,0.063,3.888925450752809,,q_outside_vertex,6,1.926290050099505,,
3.775,0.0054,3.7920370705809523,,q_outside_vertex,4,8665.801909860711,,
3.775,0.0056,3.7936267029117645,,q_outside_vertex,4,7227.750839676049,,
3.775,0.0063,3.796974314364583,,q_outside_vertex,4,2856.371850023293,,
3.775,0.007,3.799646487536842,,q_outside_vertex,4,1380.4983136647434,,
3.775,0.0075,3.802657713021053,,q_outside_vertex,4,742.0939956958088,,
3.775,0.008,3.8054117250898885,,q_outside_vertex,4,530.7949395760961,,
3.775,0.009,3.8106606800561797,,q_outside_vertex,5,215.0502631891484,,
3.775,0.01,3.8148123092022472,,q_outside_vertex,5,134.46736178733312,,
3.775,0.012,3.8215143729213485,,q_outside_vertex,6,63.67532549552176,,
3.775,0.016,3.83333737964045,,q_outside_vertex,6,23.322858837870964,,
3.775,0.02,3.842086953741573,,q_outside_vertex,6,12.908598892568971,,
3.775,0.025,3.8517663760898873,,q_outside_vertex,6,7.154118682571008,,
3.775,0.03105,3.8618139238314604,,q_outside_vertex,6,4.692869734543438,,
3.8,0.0016,3.802534173419047,,few_p0,1,44857.43365079658,,
3.8,0.0018,3.8030734362666667,,q_outside_vertex,2,20354.120338835626,,
3.8,0.002,3.8040626283238095,,q_outside_vertex,2,13357.57776429997,,
3.8,0.0031,3.8083216315851063,,q_outside_vertex,3,1423.112663806807,,
3.8,0.00385,3.8119525419550566,,q_outside_vertex,3,550.1574737231988,,
3.8,0.005,3.81708873341573,,q_outside_vertex,4,225.11065798439728,,
3.8,0.0063,3.821944999280899,,q_outside_vertex,4,113.70161623865067,,
3.8,0.008,3.8273452403146075,,q_outside_vertex,4,61.57546102366046,,
3.8,0.01,3.8337402516404495,,q_outside_vertex,5,38.70700460286637,,
3.8,0.016,3.8487837847977526,,q_outside_vertex,6,13.32673763266526,,
3.8,0.025,3.8652553296629213,,q_outside_vertex,6,5.532245798634841,,
3.8,0.03105,3.8746049390224715,,q_outside_vertex,6,3.926947303972556,,
3.8,0.039,3.885002408752809,,q_outside_vertex,6,2.7648095178614285,,
3.8,0.063,3.9095986286516853,,q_outside_vertex,6,0.8123588919200075,,
3.815,0.00067,3.8153703849238094,,few_p0,0,39867.66555424009,,
3.815,0.0008,3.815665359914286,,few_p0,0,25243.92624307873,,
3.815,0.001,3.8161595632857144,,few_p0,1,9590.437074312704,,
3.815,0.0012,3.8168661010380958,,few_p0,1,4554.685221673386,,
3.815,0.0015,3.81791052517,,few_p0,1,1783.4289869758677,,
3.815,0.0022,3.820803225322917,,q_outside_vertex,2,473.6304664843519,,
3.815,0.0028,3.8226114397865167,,q_outside_vertex,2,245.24528361007663,,
3.815,0.00385,3.8263819715168537,,q_outside_vertex,3,123.00565373507567,,
3.815,0.005,3.830387236224719,,q_outside_vertex,4,63.185919177323946,,
3.815,0.0063,3.834521593337078,,q_outside_vertex,4,40.53126014447913,,
3.815,0.01,3.8447303791573035,3.781140928789945,interp_q,5,17.38966390729475,19341.041681335213,1112.214806706062
3.815,0.025,3.8739919613146068,,q_outside_vertex,6,3.497855621381444,,
3.815,0.063,3.9155447010561795,,q_outside_vertex,6,0.8746718197576249,,
3.825,0.0001,3.8251064811523814,,few_p0,0,156386.92868908358,,
3.825,0.00014,3.825091099647619,,few_p0,0,122939.83956675073,,
3.825,0.00018,3.825142850142856,,few_p0,0,83145.15015129189,,
3.825,0.00025,3.8250924863238094,,few_p0,0,52515.65773826645,,
3.825,0.00033,3.8250498067142855,,few_p0,0,27763.33086090321,,
3.825,0.0013,3.827588358977528,,few_p0,1,527.2943294482768,,
3.825,0.0015,3.828366429247191,,few_p0,1,477.78558515293264,,
3.825,0.002,3.8297441870112356,,q_outside_vertex,2,249.9876019248944,,
3.825,0.0022,3.830458717022472,,q_outside_vertex,2,191.13886884669458,,
3.825,0.0025,3.831525919910112,,q_outside_vertex,2,170.26910629468233,,
3.825,0.0031,3.833250510179775,,q_outside_vertex,3,116.96119749155226,,
3.825,0.00385,3.8358726877528095,,q_outside_vertex,3,85.98952898577275,,
