# Generated by Cursor. 2026-08-31
# Vertex T1-threshold tau_alpha scan at p0=3.800.
# T from recommended_T.csv (tau_k = 10^{1+k/3}, k=0..9). l_T1 skips 0.01 (reuse existing).
# Units: p0 target shape index, T reduced kT, tauAlphaEst used as -t (tau_block=max(tau,1000)),
# t1 = T1Threshold (edge length; mean cell area 1).
p0,T,tauAlphaEst,t1
3.800,0.10807693,10,0.0001
3.800,0.079977882,21.5443,0.0001
3.800,0.047326423,46.4159,0.0001
3.800,0.029089655,100,0.0001
3.800,0.019504376,215.443,0.0001
3.800,0.014527896,464.159,0.0001
3.800,0.011386091,1000,0.0001
3.800,0.0097276326,2154.43,0.0001
3.800,0.0085738621,4641.59,0.0001
3.800,0.008043309,10000,0.0001
3.800,0.10807693,10,0.001
3.800,0.079977882,21.5443,0.001
3.800,0.047326423,46.4159,0.001
3.800,0.029089655,100,0.001
3.800,0.019504376,215.443,0.001
3.800,0.014527896,464.159,0.001
3.800,0.011386091,1000,0.001
3.800,0.0097276326,2154.43,0.001
3.800,0.0085738621,4641.59,0.001
3.800,0.008043309,10000,0.001
3.800,0.10807693,10,0.1
3.800,0.079977882,21.5443,0.1
3.800,0.047326423,46.4159,0.1
3.800,0.029089655,100,0.1
3.800,0.019504376,215.443,0.1
3.800,0.014527896,464.159,0.1
3.800,0.011386091,1000,0.1
3.800,0.0097276326,2154.43,0.1
3.800,0.0085738621,4641.59,0.1
3.800,0.008043309,10000,0.1
