# Generated by Cursor. 2026-09-07
# l_T1 = 0.04, 0.05, ..., 0.09 at the same p0=3.800 recommended T grid.
# tauAlphaEst = 1000 for every row so tau_block = max(1000, 1000) = 1000
# (shorter than the cold-T protocol; scout whether CRSISF survives unlike l_T1=0.1).
# Units: p0 shape index, T reduced kT, t1 = T1Threshold (mean cell area 1).
p0,T,tauAlphaEst,t1
3.800,0.10807693,1000,0.04
3.800,0.079977882,1000,0.04
3.800,0.047326423,1000,0.04
3.800,0.029089655,1000,0.04
3.800,0.019504376,1000,0.04
3.800,0.014527896,1000,0.04
3.800,0.011386091,1000,0.04
3.800,0.0097276326,1000,0.04
3.800,0.0085738621,1000,0.04
3.800,0.008043309,1000,0.04
3.800,0.10807693,1000,0.05
3.800,0.079977882,1000,0.05
3.800,0.047326423,1000,0.05
3.800,0.029089655,1000,0.05
3.800,0.019504376,1000,0.05
3.800,0.014527896,1000,0.05
3.800,0.011386091,1000,0.05
3.800,0.0097276326,1000,0.05
3.800,0.0085738621,1000,0.05
3.800,0.008043309,1000,0.05
3.800,0.10807693,1000,0.06
3.800,0.079977882,1000,0.06
3.800,0.047326423,1000,0.06
3.800,0.029089655,1000,0.06
3.800,0.019504376,1000,0.06
3.800,0.014527896,1000,0.06
3.800,0.011386091,1000,0.06
3.800,0.0097276326,1000,0.06
3.800,0.0085738621,1000,0.06
3.800,0.008043309,1000,0.06
3.800,0.10807693,1000,0.07
3.800,0.079977882,1000,0.07
3.800,0.047326423,1000,0.07
3.800,0.029089655,1000,0.07
3.800,0.019504376,1000,0.07
3.800,0.014527896,1000,0.07
3.800,0.011386091,1000,0.07
3.800,0.0097276326,1000,0.07
3.800,0.0085738621,1000,0.07
3.800,0.008043309,1000,0.07
3.800,0.10807693,1000,0.08
3.800,0.079977882,1000,0.08
3.800,0.047326423,1000,0.08
3.800,0.029089655,1000,0.08
3.800,0.019504376,1000,0.08
3.800,0.014527896,1000,0.08
3.800,0.011386091,1000,0.08
3.800,0.0097276326,1000,0.08
3.800,0.0085738621,1000,0.08
3.800,0.008043309,1000,0.08
3.800,0.10807693,1000,0.09
3.800,0.079977882,1000,0.09
3.800,0.047326423,1000,0.09
3.800,0.029089655,1000,0.09
3.800,0.019504376,1000,0.09
3.800,0.014527896,1000,0.09
3.800,0.011386091,1000,0.09
3.800,0.0097276326,1000,0.09
3.800,0.0085738621,1000,0.09
3.800,0.008043309,1000,0.09
