# Generated by Cursor. 2026-09-08
# Vertex T1-threshold tau_alpha scan for all production p0 except 3.800 (already scanned).
# T from recommended_T.csv (tau_k = 10^{1+k/3}, k=0..9). Skip l_T1=0.01 (reuse default).
# Wave A is l_T1<=0.06; Wave B is 0.07,0.08,0.09,0.1 (crash-prone at p0=3.8).
# Units: p0 target shape index, T reduced kT, tauAlphaEst used as -t (tau_block=max(tau,1000)),
# t1 = T1Threshold (edge length; mean cell area 1).
p0,T,tauAlphaEst,t1
3.750,0.16398674,10,0.001
3.750,0.087199361,21.5443,0.001
3.750,0.056350098,46.4159,0.001
3.750,0.038711205,100,0.001
3.750,0.029293165,215.443,0.001
3.750,0.02197788,464.159,0.001
3.750,0.018526035,1000,0.001
3.750,0.016524005,2154.43,0.001
3.750,0.014992814,4641.59,0.001
3.750,0.014216387,10000,0.001
3.775,0.15774637,10,0.001
3.775,0.087847247,21.5443,0.001
3.775,0.051589327,46.4159,0.001
3.775,0.033159775,100,0.001
3.775,0.023439616,215.443,0.001
3.775,0.018525147,464.159,0.001
3.775,0.01509788,1000,0.001
3.775,0.01344977,2154.43,0.001
3.775,0.012656231,4641.59,0.001
3.775,0.011352632,10000,0.001
3.815,0.11265956,10,0.001
3.815,0.074167236,21.5443,0.001
3.815,0.045552743,46.4159,0.001
3.815,0.028122304,100,0.001
3.815,0.018029611,215.443,0.001
3.815,0.012958377,464.159,0.001
3.815,0.0094099104,1000,0.001
3.815,0.0077283474,2154.43,0.001
3.815,0.0065268891,4641.59,0.001
3.815,0.0052626311,10000,0.001
3.825,0.10909011,10,0.001
3.825,0.074981748,21.5443,0.001
3.825,0.043365134,46.4159,0.001
3.825,0.025866977,100,0.001
3.825,0.016175561,215.443,0.001
3.825,0.011147271,464.159,0.001
3.825,0.0082095671,1000,0.001
3.825,0.0063814191,2154.43,0.001
3.825,0.0054837939,4641.59,0.001
3.825,0.0040020079,10000,0.001
3.850,0.1146212,10,0.001
3.850,0.068976793,21.5443,0.001
3.850,0.036669859,46.4159,0.001
3.850,0.020569672,100,0.001
3.850,0.012869139,215.443,0.001
