# Generated by Cursor. 2026-09-02
# Extra l_T1 at the same p0=3.800 recommended T grid.
# Five log-spaced interiors 10^{-3+k/6} (k=1..5), two sig figs, plus 0.02 and 0.03.
# Do not rerun 0.001 or 0.01. Units: p0 shape index, T reduced kT,
# tauAlphaEst = -t (tau_block=max(tau,1000)), t1 = T1Threshold (mean cell area 1).
p0,T,tauAlphaEst,t1
3.800,0.10807693,10,0.0015
3.800,0.079977882,21.5443,0.0015
3.800,0.047326423,46.4159,0.0015
3.800,0.029089655,100,0.0015
3.800,0.019504376,215.443,0.0015
3.800,0.014527896,464.159,0.0015
3.800,0.011386091,1000,0.0015
3.800,0.0097276326,2154.43,0.0015
3.800,0.0085738621,4641.59,0.0015
3.800,0.008043309,10000,0.0015
3.800,0.10807693,10,0.0022
3.800,0.079977882,21.5443,0.0022
3.800,0.047326423,46.4159,0.0022
3.800,0.029089655,100,0.0022
3.800,0.019504376,215.443,0.0022
3.800,0.014527896,464.159,0.0022
3.800,0.011386091,1000,0.0022
3.800,0.0097276326,2154.43,0.0022
3.800,0.0085738621,4641.59,0.0022
3.800,0.008043309,10000,0.0022
3.800,0.10807693,10,0.0032
3.800,0.079977882,21.5443,0.0032
3.800,0.047326423,46.4159,0.0032
3.800,0.029089655,100,0.0032
3.800,0.019504376,215.443,0.0032
3.800,0.014527896,464.159,0.0032
3.800,0.011386091,1000,0.0032
3.800,0.0097276326,2154.43,0.0032
3.800,0.0085738621,4641.59,0.0032
3.800,0.008043309,10000,0.0032
3.800,0.10807693,10,0.0046
3.800,0.079977882,21.5443,0.0046
3.800,0.047326423,46.4159,0.0046
3.800,0.029089655,100,0.0046
3.800,0.019504376,215.443,0.0046
3.800,0.014527896,464.159,0.0046
3.800,0.011386091,1000,0.0046
3.800,0.0097276326,2154.43,0.0046
3.800,0.0085738621,4641.59,0.0046
3.800,0.008043309,10000,0.0046
3.800,0.10807693,10,0.0068
3.800,0.079977882,21.5443,0.0068
3.800,0.047326423,46.4159,0.0068
3.800,0.029089655,100,0.0068
3.800,0.019504376,215.443,0.0068
3.800,0.014527896,464.159,0.0068
3.800,0.011386091,1000,0.0068
3.800,0.0097276326,2154.43,0.0068
3.800,0.0085738621,4641.59,0.0068
3.800,0.008043309,10000,0.0068
3.800,0.10807693,10,0.02
3.800,0.079977882,21.5443,0.02
3.800,0.047326423,46.4159,0.02
3.800,0.029089655,100,0.02
3.800,0.019504376,215.443,0.02
3.800,0.014527896,464.159,0.02
3.800,0.011386091,1000,0.02
3.800,0.0097276326,2154.43,0.02
3.800,0.0085738621,4641.59,0.02
3.800,0.008043309,10000,0.02
3.800,0.10807693,10,0.03
3.800,0.079977882,21.5443,0.03
3.800,0.047326423,46.4159,0.03
3.800,0.029089655,100,0.03
3.800,0.019504376,215.443,0.03
3.800,0.014527896,464.159,0.03
3.800,0.011386091,1000,0.03
3.800,0.0097276326,2154.43,0.03
3.800,0.0085738621,4641.59,0.03
3.800,0.008043309,10000,0.03
