t1,p0,T,waitingTime,tauAlpha,crossed,n,idx,source
0.001,3.8,0.00804331,100000.0,41643.68433117712,1,4096,0,t1Scan
0.001,3.8,0.00857386,41774.0,22104.55865759699,1,4096,0,t1Scan
0.001,3.8,0.00972763,19390.0,12291.879525611663,1,4096,0,t1Scan
0.001,3.8,0.01138609,7000.0,6540.058871597242,1,4096,0,t1Scan
0.001,3.8,0.0145279,9000.0,4453.301277081482,1,4096,0,t1Scan
0.001,3.8,0.01950438,12000.0,2118.5170462859137,1,4096,0,t1Scan
0.001,3.8,0.02908965,13000.0,1155.6053052035006,1,4096,0,t1Scan
0.001,3.8,0.04732642,14000.0,582.2915906999474,1,4096,0,t1Scan
0.001,3.8,0.07997788,14000.0,266.4493194370638,1,4096,0,t1Scan
0.001,3.8,0.10807693,14000.0,215.63957403715062,1,4096,0,t1Scan
0.0015,3.8,0.00804331,110000.0,35215.78728337567,1,4096,0,t1Scan
0.0015,3.8,0.00857386,46416.0,21405.554786202276,1,4096,0,t1Scan
0.0015,3.8,0.00972763,19390.0,9538.632912701512,1,4096,0,t1Scan
0.0015,3.8,0.01138609,9000.0,5339.505650784238,1,4096,0,t1Scan
0.0015,3.8,0.0145279,11000.0,2582.4854965328122,1,4096,0,t1Scan
0.0015,3.8,0.01950438,13000.0,1454.6491185013792,1,4096,0,t1Scan
0.0015,3.8,0.02908965,14000.0,684.0063513212847,1,4096,0,t1Scan
0.0015,3.8,0.04732642,14000.0,328.0750317811878,1,4096,0,t1Scan
0.0015,3.8,0.07997788,14000.0,148.81858879797826,1,4096,0,t1Scan
0.0015,3.8,0.10807693,14000.0,103.95721966261864,1,4096,0,t1Scan
0.0022,3.8,0.00804331,120000.0,22828.46319494014,1,4096,0,t1Scan
0.0022,3.8,0.00857386,51057.0,11445.928601539787,1,4096,0,t1Scan
0.0022,3.8,0.00972763,21544.0,9514.065840933748,1,4096,0,t1Scan
0.0022,3.8,0.01138609,11000.0,3543.855588922639,1,4096,0,t1Scan
0.0022,3.8,0.0145279,12000.0,2173.9845154457275,1,4096,0,t1Scan
0.0022,3.8,0.01950438,14000.0,987.2724464560257,1,4096,0,t1Scan
0.0022,3.8,0.02908965,14000.0,473.15427642266314,1,4096,0,t1Scan
0.0022,3.8,0.04732642,14000.0,207.06617718767885,1,4096,0,t1Scan
0.0022,3.8,0.07997788,14000.0,96.35676428025718,1,4096,0,t1Scan
0.0022,3.8,0.10807693,14000.0,63.79127896637186,1,4096,0,t1Scan
0.0032,3.8,0.00804331,120000.0,21437.2489623952,1,4096,0,t1Scan
0.0032,3.8,0.00857386,55699.0,12536.255222350783,1,4096,0,t1Scan
0.0032,3.8,0.00972763,23699.0,5920.144436145426,1,4096,0,t1Scan
0.0032,3.8,0.01138609,11000.0,3318.3173651246275,1,4096,0,t1Scan
0.0032,3.8,0.0145279,13000.0,1591.5609811837098,1,4096,0,t1Scan
0.0032,3.8,0.01950438,14000.0,725.4952710550109,1,4096,0,t1Scan
0.0032,3.8,0.02908965,14000.0,296.630674353304,1,4096,0,t1Scan
0.0032,3.8,0.04732642,14000.0,149.53038826070062,1,4096,0,t1Scan
0.0032,3.8,0.07997788,14000.0,72.1072709930135,1,4096,0,t1Scan
0.0032,3.8,0.10807693,14000.0,47.27500523534132,1,4096,0,t1Scan
0.0046,3.8,0.00804331,130000.0,16278.849353803724,1,4096,0,t1Scan
0.0046,3.8,0.00857386,55699.0,10783.744813504005,1,4096,0,t1Scan
0.0046,3.8,0.00972763,25853.0,3965.4985272557765,1,4096,0,t1Scan
0.0046,3.8,0.01138609,13000.0,1937.6234914266577,1,4096,0,t1Scan
0.0046,3.8,0.0145279,14000.0,909.6698910713517,1,4096,0,t1Scan
0.0046,3.8,0.01950438,14000.0,532.1770244294287,1,4096,0,t1Scan
0.0046,3.8,0.02908965,14000.0,235.6726841232631,1,4096,0,t1Scan
0.0046,3.8,0.04732642,14000.0,100.44906596573728,1,4096,0,t1Scan
0.0046,3.8,0.07997788,14000.0,50.259994082257215,1,4096,0,t1Scan
0.0046,3.8,0.10807693,14000.0,33.87377653138539,1,4096,0,t1Scan
0.0068,3.8,0.00804331,130000.0,15738.223410944911,1,4096,0,t1Scan
0.0068,3.8,0.00857386,60341.0,6468.084886074572,1,4096,0,t1Scan
0.0068,3.8,0.00972763,28007.0,3740.9580019485084,1,4096,0,t1Scan
0.0068,3.8,0.01138609,13000.0,1484.3317837828274,1,4096,0,t1Scan
0.0068,3.8,0.0145279,14000.0,617.3259114707877,1,4096,0,t1Scan
0.0068,3.8,0.01950438,14000.0,320.346737258868,1,4096,0,t1Scan
0.0068,3.8,0.02908965,14000.0,147.87697607110871,1,4096,0,t1Scan
0.0068,3.8,0.04732642,14000.0,72.1842138144929,1,4096,0,t1Scan
0.0068,3.8,0.07997788,14000.0,30.890406116585392,1,4096,0,t1Scan
0.0068,3.8,0.10807693,14000.0,19.36665170381911,1,4096,0,t1Scan
0.01,3.8,0.00422529,70000.0,74730.096,1,4096,0,longest_crossed
0.01,3.8,0.00535426,27850.0,27696.766,1,4096,0,longest_crossed
0.01,3.8,0.00704038,17235.0,13960.3,1,4096,0,longest_crossed
0.01,3.8,0.00718994,120000.0,26417.939,1,4096,0,longest_crossed
0.01,3.8,0.00796442,130000.0,11357.293,1,4096,0,longest_crossed
0.01,3.8,0.00822905,60341.0,7482.4322,1,4096,0,longest_crossed
0.01,3.8,0.00876128,60341.0,3637.4542,1,4096,0,longest_crossed
0.01,3.8,0.00961925,28007.0,2402.6213,1,4096,0,longest_crossed
0.01,3.8,0.00996505,13000.0,1710.8261,1,4096,0,longest_crossed
0.01,3.8,0.01157466,14000.0,940.49738,1,4096,0,longest_crossed
0.01,3.8,0.01365467,14000.0,562.61883,1,4096,0,longest_crossed
0.01,3.8,0.01973598,14000.0,209.85236,1,4096,0,longest_crossed
0.01,3.8,0.03119342,14000.0,89.989338,1,4096,0,longest_crossed
0.01,3.8,0.04493352,14000.0,51.787615,1,4096,0,longest_crossed
0.01,3.8,0.06198152,14000.0,28.543618,1,4096,0,longest_crossed
0.01,3.8,0.08400365,14000.0,20.566844,1,4096,0,longest_crossed
0.01,3.8,0.09830474,14000.0,16.399367,1,4096,0,longest_crossed
0.01,3.8,0.16398067,14000.0,1.8333729,1,4096,0,longest_crossed
0.02,3.8,0.00804331,140000.0,3967.5869006603566,1,4096,0,t1Scan
0.02,3.8,0.00857386,64982.0,2886.647480993279,1,4096,0,t1Scan
0.02,3.8,0.00972763,30162.0,1153.656827685295,1,4096,0,t1Scan
0.02,3.8,0.01138609,14000.0,563.6289886308475,1,4096,0,t1Scan
0.02,3.8,0.0145279,14000.0,251.55981044679987,1,4096,0,t1Scan
0.02,3.8,0.01950438,14000.0,123.78927033494405,1,4096,0,t1Scan
0.02,3.8,0.02908965,14000.0,61.07948596311668,1,4096,0,t1Scan
0.02,3.8,0.04732642,14000.0,23.85357115858861,1,4096,0,t1Scan
0.02,3.8,0.07997788,14000.0,11.368862023764649,1,4096,0,t1Scan
0.02,3.8,0.10807693,14000.0,7.689286506395561,1,4096,0,t1Scan
0.03,3.8,0.00804331,140000.0,1782.4534933568677,1,4096,0,t1Scan
0.03,3.8,0.00857386,64982.0,1163.7427911966247,1,4096,0,t1Scan
