p0,T,t1,tauAlpha,tauAlphaEst,waitingTime,kept
3.75,0.01421639,0.001,36340.02995536662,10000.0,100000.0,1
3.75,0.01499281,0.001,,4641.59,46416.0,0
3.75,0.01652401,0.001,,2154.43,21544.0,0
3.75,0.01852603,0.001,,1000.0,10000.0,0
3.75,0.02197788,0.001,3635.573618636128,464.159,10000.0,0
3.75,0.02929316,0.001,2090.5989838517144,215.443,10000.0,0
3.75,0.0387112,0.001,1104.3748403946047,100.0,10000.0,0
3.75,0.0563501,0.001,590.6123604276368,46.4159,10000.0,0
3.75,0.08719936,0.001,305.4148690970921,21.5443,10000.0,0
3.75,0.16398674,0.001,154.16708884532537,10.0,10000.0,0
3.75,0.01421639,0.0015,,10000.0,100000.0,0
3.75,0.01499281,0.0015,21441.933912863507,4641.59,46416.0,1
3.75,0.01652401,0.0015,9064.544771885237,2154.43,21544.0,1
3.75,0.01852603,0.0015,,1000.0,10000.0,0
3.75,0.02197788,0.0015,2789.4180844541092,464.159,10000.0,0
3.75,0.02929316,0.0015,1228.8707556322838,215.443,10000.0,0
3.75,0.0387112,0.0015,607.2334212293008,100.0,10000.0,0
3.75,0.0563501,0.0015,340.4675389962068,46.4159,10000.0,0
3.75,0.08719936,0.0015,151.79474762380542,21.5443,10000.0,0
3.75,0.16398674,0.0015,78.56196480147939,10.0,10000.0,0
3.75,0.01421639,0.0022,25764.932524066557,10000.0,100000.0,1
3.75,0.01499281,0.0022,11974.124385553596,4641.59,46416.0,1
3.75,0.01652401,0.0022,7748.577213419646,2154.43,21544.0,1
3.75,0.01852603,0.0022,3348.788287145884,1000.0,10000.0,1
3.75,0.02197788,0.0022,1898.2742836096097,464.159,10000.0,1
3.75,0.02929316,0.0022,857.8605411445498,215.443,10000.0,1
3.75,0.0387112,0.0022,428.4200836040124,100.0,10000.0,1
3.75,0.0563501,0.0022,213.05971908112863,46.4159,10000.0,1
3.75,0.08719936,0.0022,112.61499975377757,21.5443,10000.0,0
3.75,0.16398674,0.0022,50.66545409369345,10.0,10000.0,0
3.75,0.01421639,0.0032,27308.49800440992,10000.0,100000.0,1
3.75,0.01499281,0.0032,11698.971458063797,4641.59,46416.0,1
3.75,0.01652401,0.0032,4612.8466460140535,2154.43,21544.0,1
3.75,0.01852603,0.0032,2614.637969188906,1000.0,10000.0,1
3.75,0.02197788,0.0032,1417.284154465174,464.159,10000.0,1
3.75,0.02929316,0.0032,584.3124873041675,215.443,10000.0,1
3.75,0.0387112,0.0032,273.81877710687723,100.0,10000.0,1
3.75,0.0563501,0.0032,151.78686218253307,46.4159,10000.0,1
3.75,0.08719936,0.0032,64.43125544265902,21.5443,10000.0,1
3.75,0.16398674,0.0032,27.090669527951924,10.0,10000.0,1
3.75,0.01421639,0.0046,20806.855737686816,10000.0,100000.0,1
3.75,0.01499281,0.0046,8291.9284629509,4641.59,46416.0,1
3.75,0.01652401,0.0046,2986.043538731234,2154.43,21544.0,1
3.75,0.01852603,0.0046,2057.175285633092,1000.0,10000.0,1
3.75,0.02197788,0.0046,797.5079765446103,464.159,10000.0,1
3.75,0.02929316,0.0046,414.74447495966274,215.443,10000.0,1
3.75,0.0387112,0.0046,190.37625466657477,100.0,10000.0,1
3.75,0.0563501,0.0046,103.5741811761939,46.4159,10000.0,1
3.75,0.08719936,0.0046,49.99580238688897,21.5443,10000.0,1
3.75,0.16398674,0.0046,20.97887167177117,10.0,10000.0,1
3.75,0.01421639,0.0068,36331.44235262764,10000.0,100000.0,1
3.75,0.01499281,0.0068,5353.102093913145,4641.59,46416.0,1
3.75,0.01652401,0.0068,2886.249775901687,2154.43,21544.0,1
3.75,0.01852603,0.0068,1203.3107286005938,1000.0,10000.0,1
3.75,0.02197788,0.0068,582.4654475417086,464.159,10000.0,1
3.75,0.02929316,0.0068,263.6414203538028,215.443,10000.0,1
3.75,0.0387112,0.0068,139.81009739731041,100.0,10000.0,1
3.75,0.0563501,0.0068,73.43225750663147,46.4159,10000.0,1
3.75,0.08719936,0.0068,33.484875400480156,21.5443,10000.0,1
3.75,0.16398674,0.0068,13.148451322227857,10.0,10000.0,1
3.75,0.01421639,0.02,4355.331712948834,10000.0,100000.0,1
3.75,0.01499281,0.02,2160.375967396473,4641.59,46416.0,1
3.75,0.01652401,0.02,777.9772280203242,2154.43,21544.0,1
3.75,0.01852603,0.02,413.36226856997513,1000.0,10000.0,1
3.75,0.02197788,0.02,206.65295817667683,464.159,10000.0,1
3.75,0.02929316,0.02,98.65692723857416,215.443,10000.0,1
3.75,0.0387112,0.02,57.84683451359895,100.0,10000.0,1
3.75,0.0563501,0.02,27.671287554788417,46.4159,10000.0,1
3.75,0.08719936,0.02,11.721171718397889,21.5443,10000.0,1
3.75,0.16398674,0.02,1.8590802250830152,10.0,10000.0,1
3.75,0.01421639,0.03,1718.5736906361606,10000.0,100000.0,1
3.75,0.01499281,0.03,1062.9248910926683,4641.59,46416.0,1
