p0,T,tauAlphaEst,C,tauVoronoiNeeded,source
3.750,0.1507937,10,22.2675,0.449085,C*voronoi_logT_hot
3.750,0.095189813,21.5443,22.2675,0.967524,C*voronoi_logT_hot
3.750,0.05939491,46.4159,22.2675,2.08447,C*voronoi_inverted
3.750,0.038303215,100,22.2675,4.49085,C*voronoi_inverted
3.750,0.028716073,215.443,22.2675,9.67524,C*voronoi_inverted
3.750,0.021317,464.159,22.2675,20.8447,C*voronoi_inverted
3.750,0.017372596,1000,22.2675,44.9085,C*voronoi_inverted
3.750,0.015133788,2154.43,22.2675,96.7524,C*voronoi_inverted
3.750,0.013455177,4641.59,22.2675,208.447,C*voronoi_inverted
3.750,0.01233005,10000,22.2675,449.085,C*voronoi_inverted
3.775,0.11789975,10,28.5699,0.350018,C*voronoi_logT_hot
3.775,0.07946596,21.5443,28.5699,0.754092,C*voronoi_logT_hot
3.775,0.053561088,46.4159,28.5699,1.62464,C*voronoi_logT_hot
3.775,0.036100868,100,28.5699,3.50018,C*voronoi_logT_hot
3.775,0.024454565,215.443,28.5699,7.54092,C*voronoi_inverted
3.775,0.018228302,464.159,28.5699,16.2464,C*voronoi_inverted
3.775,0.014100216,1000,28.5699,35.0018,C*voronoi_inverted
3.775,0.011480493,2154.43,28.5699,75.4092,C*voronoi_inverted
3.775,0.0095716144,4641.59,28.5699,162.464,C*voronoi_inverted
3.775,0.0084317636,10000,28.5699,350.018,C*voronoi_inverted
3.800,0.084003652,10,25.6674,0.389599,C*voronoi_logT_hot
3.800,0.061981519,21.5443,25.6674,0.839366,C*voronoi_inverted
3.800,0.04493352,46.4159,25.6674,1.80836,C*voronoi_inverted
3.800,0.031193422,100,25.6674,3.89599,C*voronoi_inverted
3.800,0.019735978,215.443,25.6674,8.39366,C*voronoi_inverted
3.800,0.013654667,464.159,25.6674,18.0836,C*voronoi_inverted
3.800,0.0099650524,1000,25.6674,38.9599,C*voronoi_inverted
3.800,0.0070403787,2154.43,25.6674,83.9366,C*voronoi_inverted
3.800,0.0053542592,4641.59,25.6674,180.836,C*voronoi_inverted
3.800,0.0042252863,10000,25.6674,389.599,C*voronoi_inverted
3.815,0.16265453,10,47.4128,0.210914,C*voronoi_logT_hot
3.815,0.097496887,21.5443,47.4128,0.4544,C*voronoi_logT_hot
3.815,0.056072609,46.4159,47.4128,0.978974,C*voronoi_inverted
3.815,0.03205711,100,47.4128,2.10914,C*voronoi_inverted
3.815,0.020084626,215.443,47.4128,4.544,C*voronoi_inverted
3.815,0.012738079,464.159,47.4128,9.78974,C*voronoi_inverted
3.815,0.0088187891,1000,47.4128,21.0914,C*voronoi_inverted
3.815,0.0059047262,2154.43,47.4128,45.44,C*voronoi_inverted
3.815,0.0041794594,4641.59,47.4128,97.8974,C*voronoi_inverted
3.815,0.0029774765,10000,47.4128,210.914,C*voronoi_inverted
3.825,0.092280319,10,29.5224,0.338726,C*voronoi_logT_hot
3.825,0.065294034,21.5443,29.5224,0.729762,C*voronoi_logT_hot
3.825,0.045064361,46.4159,29.5224,1.57223,C*voronoi_inverted
3.825,0.027592308,100,29.5224,3.38726,C*voronoi_inverted
3.825,0.016915923,215.443,29.5224,7.29762,C*voronoi_inverted
3.825,0.010835975,464.159,29.5224,15.7223,C*voronoi_inverted
3.825,0.0068365758,1000,29.5224,33.8726,C*voronoi_inverted
3.825,0.0041873523,2154.43,29.5224,72.9762,C*voronoi_inverted
3.825,0.0026071153,4641.59,29.5224,157.223,C*voronoi_inverted
3.825,0.0017296172,10000,29.5224,338.726,C*voronoi_inverted
3.850,0.098860795,10,42.8149,0.233564,C*voronoi_logT_hot
3.850,0.063671204,21.5443,42.8149,0.503197,C*voronoi_logT_hot
3.850,0.04100738,46.4159,42.8149,1.08411,C*voronoi_logT_hot
3.850,0.0239427,100,42.8149,2.33564,C*voronoi_inverted
3.850,0.016675536,215.443,42.8149,5.03197,C*voronoi_inverted
3.850,0.0082646635,464.159,42.8149,10.8411,C*voronoi_inverted
3.850,0.004950843,1000,42.8149,23.3564,C*voronoi_inverted
3.850,0.0025721699,2154.43,42.8149,50.3197,C*voronoi_inverted
3.850,0.0013808485,4641.59,42.8149,108.411,C*voronoi_inverted
3.850,0.00082500467,10000,42.8149,233.564,C*voronoi_inverted
