p0,T,waitingTime,tauAlphaEst,tauAlpha,crossed
3.750,0.01233005,140000,10000,,0
3.750,0.01345518,64982,4641.59,,0
3.750,0.01513379,30162,2154.43,,0
3.750,0.0173726,14000,1000,,0
3.750,0.021317,14000,464.159,509.41663,1
3.750,0.02871607,14000,215.443,229.53149,1
3.750,0.03830322,14000,100,102.64613,1
3.750,0.05939491,14000,46.4159,42.575974,1
3.750,0.09518981,14000,21.5443,19.06718,1
3.750,0.1507937,14000,10,11.046405,1
3.775,0.00843176,140000,10000,,0
3.775,0.00957161,64982,4641.59,,0
3.775,0.01148049,30162,2154.43,,0
3.775,0.01410022,14000,1000,,0
3.775,0.0182283,14000,464.159,492.67113,1
3.775,0.02445457,14000,215.443,191.06617,1
3.775,0.03610087,14000,100,86.227917,1
3.775,0.05356109,14000,46.4159,44.013571,1
3.775,0.07946596,14000,21.5443,25.16697,1
3.775,0.11789975,14000,10,14.798104,1
3.800,0.00422529,140000,10000,,0
3.800,0.00535426,64982,4641.59,,0
3.800,0.00704038,30162,2154.43,,0
3.800,0.00996505,14000,1000,,0
3.800,0.01365467,14000,464.159,562.61883,1
3.800,0.01973598,14000,215.443,209.85236,1
3.800,0.03119342,14000,100,89.989338,1
3.800,0.04493352,14000,46.4159,51.787615,1
3.800,0.06198152,14000,21.5443,28.543618,1
3.800,0.08400365,14000,10,20.566844,1
3.815,0.00297748,140000,10000,,0
3.815,0.00417946,64982,4641.59,,0
3.815,0.00590473,30162,2154.43,,0
3.815,0.00881879,14000,1000,,0
3.815,0.01273808,14000,464.159,486.5887,1
3.815,0.02008463,14000,215.443,176.27197,1
3.815,0.03205711,14000,100,84.04122,1
3.815,0.05607261,14000,46.4159,35.626039,1
3.815,0.09749689,14000,21.5443,14.837529,1
3.815,0.16265453,14000,10,1.901597,1
3.825,0.00172962,140000,10000,,0
3.825,0.00260712,64982,4641.59,,0
3.825,0.00418735,30162,2154.43,,0
3.825,0.00683658,14000,1000,,0
3.825,0.01083597,14000,464.159,498.27872,1
3.825,0.01691592,14000,215.443,199.98197,1
3.825,0.02759231,14000,100,92.136563,1
3.825,0.04506436,14000,46.4159,44.363454,1
3.825,0.06529403,14000,21.5443,25.247887,1
3.825,0.09228032,14000,10,17.631655,1
3.850,0.000825,140000,10000,,0
3.850,0.00138085,64982,4641.59,,0
3.850,0.00257217,30162,2154.43,,0
3.850,0.00495084,14000,1000,,0
3.850,0.00826466,14000,464.159,432.04087,1
3.850,0.01667554,14000,215.443,143.53327,1
3.850,0.0239427,14000,100,80.410784,1
3.850,0.04100738,14000,46.4159,41.608234,1
3.850,0.0636712,14000,21.5443,24.982781,1
3.850,0.0988608,14000,10,12.590682,1
