p0,T,tauAlphaEst,tauMeasUsed,ratio,reason,source
3.750,0.017501721,1000,,,tau>=1000,meas_inverted
3.750,0.014540339,2154.43,,,tau>=1000,meas_inverted
3.750,0.012436089,4641.59,,,tau>=1000,meas_inverted
3.750,0.010863888,10000,,,tau>=1000,meas_inverted
3.775,0.015314278,1000,,,tau>=1000,meas_inverted
3.775,0.013052036,2154.43,,,tau>=1000,meas_inverted
3.775,0.011372132,4641.59,,,tau>=1000,meas_inverted
3.775,0.010075351,10000,,,tau>=1000,meas_inverted
3.800,0.16398067,10,20.566844,2.05668,ratio>=1.5,meas_inverted_logT
3.800,0.011574658,1000,,,tau>=1000,meas_inverted
3.800,0.0096192521,2154.43,,,tau>=1000,meas_inverted
3.800,0.0082290484,4641.59,,,tau>=1000,meas_inverted
3.800,0.0071899368,10000,,,tau>=1000,meas_inverted
3.815,0.10562311,10,1.901597,5.25874,ratio>=1.5,meas_inverted
3.815,0.010113677,1000,,,tau>=1000,meas_inverted
3.815,0.0082931221,2154.43,,,tau>=1000,meas_inverted
3.815,0.0070280147,4641.59,,,tau>=1000,meas_inverted
3.815,0.0060978012,10000,,,tau>=1000,meas_inverted
3.825,0.15936938,10,17.631655,1.76317,ratio>=1.5,meas_inverted_logT
3.825,0.0085038027,1000,,,tau>=1000,meas_inverted
3.825,0.0068737571,2154.43,,,tau>=1000,meas_inverted
3.825,0.0057681023,4641.59,,,tau>=1000,meas_inverted
3.825,0.0049688542,10000,,,tau>=1000,meas_inverted
3.850,0.012126989,215.443,143.53327,1.501,ratio>=1.5,meas_inverted
3.850,0.0059710001,1000,,,tau>=1000,meas_inverted
3.850,0.004762271,2154.43,,,tau>=1000,meas_inverted
3.850,0.0039605284,4641.59,,,tau>=1000,meas_inverted
3.850,0.0033898388,10000,,,tau>=1000,meas_inverted
