p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.75,0.01086389,0.0,10000.0,10000.0,16329.603477122371,1,4096,0
3.75,0.01086389,100000.0,10000.0,10000.0,,0,4096,0
3.75,0.01086389,10000.0,10000.0,10000.0,24371.331406490728,1,4096,0
3.75,0.01086389,110000.0,10000.0,10000.0,,0,4096,0
3.75,0.01086389,120000.0,10000.0,10000.0,,0,4096,0
3.75,0.01086389,130000.0,10000.0,10000.0,,0,4096,0
3.75,0.01086389,140000.0,10000.0,10000.0,,0,4096,0
3.75,0.01086389,20000.0,10000.0,10000.0,26482.79103842375,1,4096,0
3.75,0.01086389,30000.0,10000.0,10000.0,34521.36383609104,1,4096,0
3.75,0.01086389,40000.0,10000.0,10000.0,49185.98220865126,1,4096,0
3.75,0.01086389,50000.0,10000.0,10000.0,73037.26995558644,1,4096,0
3.75,0.01086389,60000.0,10000.0,10000.0,70508.38680530283,1,4096,0
3.75,0.01086389,70000.0,10000.0,10000.0,,0,4096,0
3.75,0.01086389,80000.0,10000.0,10000.0,,0,4096,0
3.75,0.01086389,90000.0,10000.0,10000.0,,0,4096,0
3.75,0.01243609,0.0,4641.59,4641.59,4950.76476768499,1,4096,0
3.75,0.01243609,13925.0,4641.59,4641.59,8755.583672920238,1,4096,0
3.75,0.01243609,18566.0,4641.59,4641.59,12369.492430706297,1,4096,0
3.75,0.01243609,23208.0,4641.59,4641.59,16147.463233592312,1,4096,0
3.75,0.01243609,27850.0,4641.59,4641.59,15112.47273541275,1,4096,0
3.75,0.01243609,32491.0,4641.59,4641.59,16301.276187154574,1,4096,0
3.75,0.01243609,37133.0,4641.59,4641.59,18726.43567302783,1,4096,0
3.75,0.01243609,41774.0,4641.59,4641.59,18759.97524923401,1,4096,0
3.75,0.01243609,46416.0,4641.59,4641.59,20107.400915202415,1,4096,0
3.75,0.01243609,4642.0,4641.59,4641.59,5884.230546150744,1,4096,0
3.75,0.01243609,51057.0,4641.59,4641.59,,0,4096,0
3.75,0.01243609,55699.0,4641.59,4641.59,,0,4096,0
3.75,0.01243609,60341.0,4641.59,4641.59,,0,4096,0
3.75,0.01243609,64982.0,4641.59,4641.59,,0,4096,0
3.75,0.01243609,9283.0,4641.59,4641.59,7578.437158401855,1,4096,0
3.75,0.01454034,0.0,2154.43,2154.43,1913.240217023692,1,4096,0
3.75,0.01454034,10772.0,2154.43,2154.43,4449.667749138049,1,4096,0
3.75,0.01454034,12927.0,2154.43,2154.43,5178.709312769618,1,4096,0
3.75,0.01454034,15081.0,2154.43,2154.43,6331.734644054395,1,4096,0
3.75,0.01454034,17235.0,2154.43,2154.43,7173.699928707628,1,4096,0
3.75,0.01454034,19390.0,2154.43,2154.43,6790.855260746735,1,4096,0
3.75,0.01454034,21544.0,2154.43,2154.43,6512.2360090518005,1,4096,0
3.75,0.01454034,2154.0,2154.43,2154.43,2748.5483709399546,1,4096,0
3.75,0.01454034,23699.0,2154.43,2154.43,6408.595408669892,1,4096,0
3.75,0.01454034,25853.0,2154.43,2154.43,,0,4096,0
3.75,0.01454034,28007.0,2154.43,2154.43,,0,4096,0
3.75,0.01454034,30162.0,2154.43,2154.43,,0,4096,0
3.75,0.01454034,4309.0,2154.43,2154.43,2678.044708900005,1,4096,0
3.75,0.01454034,6463.0,2154.43,2154.43,3744.172937536178,1,4096,0
3.75,0.01454034,8618.0,2154.43,2154.43,4330.667818310436,1,4096,0
3.75,0.01750172,0.0,1000.0,1000.0,707.0420666985632,1,4096,0
3.75,0.01750172,10000.0,1000.0,1000.0,1139.062226008035,1,4096,0
3.75,0.01750172,1000.0,1000.0,1000.0,1041.3001545593042,1,4096,0
3.75,0.01750172,11000.0,1000.0,1000.0,1168.937545936156,1,4096,0
3.75,0.01750172,12000.0,1000.0,1000.0,1418.9041694511607,1,4096,0
3.75,0.01750172,13000.0,1000.0,1000.0,1351.8962080087176,1,4096,0
3.75,0.01750172,14000.0,1000.0,1000.0,,0,4096,0
