p0,T,waitingTime,tauAlphaEst,tauAlpha,crossed,batch
3.750,0.1507937,14000,10,11.046405,1,2
3.750,0.09518981,14000,21.5443,19.06718,1,2
3.750,0.05939491,14000,46.4159,42.575974,1,2
3.750,0.03830322,14000,100,102.64613,1,2
3.750,0.02871607,14000,215.443,229.53149,1,2
3.750,0.025,14000,13.32,275.3466,1,1
3.750,0.021317,14000,464.159,509.41663,1,2
3.750,0.02,14000,25.46,610.88448,1,1
3.750,0.01750172,13000,1000,1351.8962,1,3
3.750,0.0173726,13000,1000,1271.0471,1,2
3.750,0.016,13000,65.05,1891.2854,1,1
3.750,0.01513379,28007,2154.43,3029.3867,1,2
3.750,0.01454034,23699,2154.43,6408.5954,1,3
3.750,0.014,9000,175.2,4454.0524,1,1
3.750,0.01345518,55699,4641.59,12502.361,1,2
3.750,0.013,7000,243.7,7059.2506,1,1
3.750,0.01243609,46416,4641.59,20107.401,1,3
3.750,0.01233005,70000,10000,74232.675,1,2
3.750,0.012,7000,622.3,7278.7434,1,1
3.750,0.0115,5000,913.2,9426.9528,1,1
3.750,0.01086389,60000,10000,70508.387,1,3
3.750,0.0105,10620,2655,24551.65,1,1
3.750,0.01,18864,4716,41456.152,1,1
3.750,0.0093,64164,10694,79148.568,1,1
3.775,0.11789975,14000,10,14.798104,1,2
3.775,0.07946596,14000,21.5443,25.16697,1,2
3.775,0.05356109,14000,46.4159,44.013571,1,2
3.775,0.03610087,14000,100,86.227917,1,2
3.775,0.02445457,14000,215.443,191.06617,1,2
3.775,0.02,14000,12.91,320.18208,1,1
3.775,0.0182283,14000,464.159,492.67113,1,2
3.775,0.016,14000,23.32,767.50636,1,1
3.775,0.01531428,14000,1000,961.89445,1,3
3.775,0.01410022,13000,1000,1214.7437,1,2
3.775,0.01305204,28007,2154.43,3145.6921,1,3
3.775,0.012,11000,63.68,2707.2082,1,1
3.775,0.01148049,21544,2154.43,8118.305,1,2
3.775,0.01137213,60341,4641.59,8749.2375,1,3
3.775,0.01007535,90000,10000,49654.313,1,3
3.775,0.01,8000,134.5,5288.4222,1,1
3.775,0.00957161,51057,4641.59,17631.21,1,2
3.775,0.009,4000,215.1,9342.2661,1,1
3.775,0.00843176,110000,10000,39639.558,1,2
3.775,0.008,3000,530.8,10109.193,1,1
3.775,0.007,4140,1380,13943.567,1,1
3.775,0.0063,11424,2856,25368.585,1,1
3.775,0.0056,7228,7228,82908.093,1,1
3.775,0.0054,8666,8666,55290.321,1,1
3.800,0.16398067,14000,10,1.8333729,1,3
3.800,0.08400365,14000,10,20.566844,1,2
3.800,0.06198152,14000,21.5443,28.543618,1,2
3.800,0.04493352,14000,46.4159,51.787615,1,2
3.800,0.03119342,14000,100,89.989338,1,2
3.800,0.01973598,14000,215.443,209.85236,1,2
3.800,0.016,14000,13.33,342.0629,1,1
3.800,0.01365467,14000,464.159,562.61883,1,2
3.800,0.01157466,14000,1000,940.49738,1,3
3.800,0.01,12000,38.71,1856.9036,1,1
3.800,0.00996505,13000,1000,1710.8261,1,2
3.800,0.00961925,28007,2154.43,2402.6213,1,3
3.800,0.00822905,60341,4641.59,7482.4322,1,3
3.800,0.008,9000,61.58,4226.7706,1,1
3.800,0.00718994,120000,10000,26417.939,1,3
3.800,0.00704038,17235,2154.43,13960.3,1,2
3.800,0.0063,7000,113.7,7451.3125,1,1
3.800,0.00535426,27850,4641.59,27696.766,1,2
3.800,0.005,3000,225.1,10698.72,1,1
3.800,0.00422529,70000,10000,74730.096,1,2
3.800,0.00385,2000,550.2,12266.072,1,1
3.800,0.0031,1423,1423,17690.393,1,1
3.800,0.0028,2572,2572,30387.487,1,1
3.800,0.0025,4591,4591,54364.191,1,1
3.800,0.0022,8307,8307,99838.344,1,1
3.815,0.16265453,14000,10,1.901597,1,2
3.815,0.10562311,14000,10,14.329865,1,3
3.815,0.09749689,14000,21.5443,14.837529,1,2
3.815,0.05607261,14000,46.4159,35.626039,1,2
3.815,0.03205711,14000,100,84.04122,1,2
3.815,0.02008463,14000,215.443,176.27197,1,2
3.815,0.01273808,14000,464.159,486.5887,1,2
3.815,0.01011368,13000,1000,899.44339,1,3
3.815,0.01,14000,17.39,824.49233,1,1
3.815,0.00881879,13000,1000,1107.4787,1,2
3.815,0.00829312,30162,2154.43,1655.0216,1,3
3.815,0.00702801,60341,4641.59,3168.9775,1,3
3.815,0.0063,9000,40.53,3664.2612,1,1
3.815,0.0060978,140000,10000,6764.5593,1,3
3.815,0.00590473,23699,2154.43,6798.4699,1,2
3.815,0.005,6000,63.19,8739.3234,1,1
3.815,0.00417946,37133,4641.59,25084.822,1,2
3.815,0.00385,3000,123,9768.935,1,1
3.815,0.00297748,40000,10000,92192.591,1,2
3.815,0.0028,2000,245.2,10349.894,1,1
3.815,0.0022,0,473.6,10572.29,1,1
3.815,0.0015,0,1783,19641.271,1,1
3.815,0.0012,4555,4555,58496.535,1,1
3.815,0.001,9590,9590,115719.24,1,1
3.825,0.15936938,14000,10,1.8504241,1,3
3.825,0.09228032,14000,10,17.631655,1,2
3.825,0.06529403,14000,21.5443,25.247887,1,2
3.825,0.04506436,14000,46.4159,44.363454,1,2
3.825,0.02759231,14000,100,92.136563,1,2
3.825,0.01691592,14000,215.443,199.98197,1,2
3.825,0.016,14000,8.18,230.8796,1,1
3.825,0.01083597,14000,464.159,498.27872,1,2
3.825,0.01,14000,18.62,574.77078,1,1
3.825,0.0085038,14000,1000,903.121,1,3
3.825,0.00687376,30162,2154.43,1772.3767,1,3
3.825,0.00683658,13000,1000,1661.8606,1,2
3.825,0.0063,12000,38.93,2516.5254,1,1
3.825,0.0057681,64982,4641.59,3261.2684,1,3
3.825,0.00496885,130000,10000,9748.753,1,3
3.825,0.00418735,21544,2154.43,8944.9269,1,2
3.825,0.00385,7000,85.99,5957.9227,1,1
3.825,0.00260712,23208,4641.59,38487.951,1,2
3.825,0.0022,2000,191.1,11041.774,1,1
3.825,0.00172962,40000,10000,92669.819,1,2
3.825,0.0015,1000,477.8,11798.256,1,1
3.825,0.001,16324,1166,,0,1
3.825,0.00067,0,4460,47464.411,1,1
3.850,0.0988608,14000,10,12.590682,1,2
3.850,0.0636712,14000,21.5443,24.982781,1,2
3.850,0.04100738,14000,46.4159,41.608234,1,2
3.850,0.0239427,14000,100,80.410784,1,2
3.850,0.01667554,14000,215.443,143.53327,1,2
3.850,0.01212699,14000,215.443,240.22695,1,3
3.850,0.01,14000,8.87,379.75446,1,1
3.850,0.00826466,14000,464.159,432.04087,1,2
3.850,0.005971,14000,1000,809.09116,1,3
3.850,0.005,13000,23.07,1105.0573,1,1
3.850,0.00495084,13000,1000,1353.8929,1,2
3.850,0.00476227,30162,2154.43,1117.9275,1,3
3.850,0.00396053,64982,4641.59,1704.5878,1,3
3.850,0.00338984,140000,10000,3251.3105,1,3
3.850,0.00257217,28007,2154.43,3696.0873,1,2
3.850,0.0025,10000,52.14,3628.2669,1,1
3.850,0.00138085,51057,4641.59,16610.631,1,2
3.850,0.001,5000,184.8,9423.0308,1,1
3.850,0.000825,110000,10000,29733.243,1,2
3.850,0.00067,2000,318.2,10982.285,1,1
3.850,0.0005,2000,470,11759.626,1,1
3.850,0.00033,14000,928.9,,0,1
3.850,0.00018,2305,2305,30549.104,1,1
3.850,0.00014,3734,3734,49119.686,1,1
3.850,7.7e-05,139020,9930,,0,1
