p0,T,tauAlphaEst,T_old,tauMeasUsed,ratio,reason,source,fromBatch
3.750,0.015939909,2154.43,0.014540339,6408.5954,2.97461,ratio>=1.5,meas_inverted,b3
3.750,0.014790031,4641.59,0.012436089,20107.401,4.33201,ratio>=1.5,meas_inverted,b3
3.750,0.01379935,10000,0.010863888,70508.387,7.05084,ratio>=1.5,meas_inverted,b3
3.775,0.012357912,4641.59,0.011372132,8749.2375,1.88497,ratio>=1.5,meas_inverted,b3
3.775,0.011260584,10000,0.010075351,49654.313,4.96543,ratio>=1.5,meas_inverted,b3
3.800,0.098304735,10,0.16398067,1.8333729,5.45443,ratio>=1.5,meas_inverted,b3
3.800,0.0087612817,4641.59,0.0082290484,7482.4322,1.61204,ratio>=1.5,meas_inverted,b3
3.800,0.0079644154,10000,0.0071899368,26417.939,2.64179,ratio>=1.5,meas_inverted,b3
3.825,0.10321059,10,0.15936938,1.8504241,5.40417,ratio>=1.5,meas_inverted,b3
3.850,0.0037326133,2154.43,0.004762271,1117.9275,1.92717,ratio>=1.5,meas_inverted,b3
3.850,0.0022747059,4641.59,0.0039605284,1704.5878,2.723,ratio>=1.5,meas_inverted,b3
3.850,0.0016368539,10000,0.0033898388,3251.3105,3.07568,ratio>=1.5,meas_inverted,b3
