p0,T,batch,tauAlphaEst,tauBlock,nReplica,nSamp,sigmaXY_mean,sigmaXY_std
3.750,0.16952498,fill,10,1000,10,100010,-2.8852908e-05,0.00049761633
3.750,0.1507937,2,10,1000,10,100010,-0.00014321296,0.00040993534
3.750,0.09518981,2,21.5443,1000,10,100010,0.00019543968,0.000308441
3.750,0.05939491,2,46.4159,1000,10,100010,5.3523868e-05,0.00030702608
3.750,0.03830322,2,100,1000,10,100010,-0.00011067658,0.00028323513
3.750,0.02871607,2,215.443,1000,10,100010,5.1618839e-06,0.00017752198
3.750,0.021317,2,464.159,1000,10,100010,-1.0396659e-05,0.00026325208
3.750,0.0173726,2,1000,1000,10,127110,-1.0648464e-05,0.00036555602
3.750,0.016527131,fill,4641.59,4641.59,10,464160,-3.0483157e-05,0.00014036373
3.750,0.01513379,2,2154.43,2154.43,10,302940,-4.4607149e-05,0.00028127315
3.750,0.01508705,6,4641.59,4641.59,10,412200,-7.3372096e-05,0.00027992568
3.750,0.01499281,5,10000,10000,10,1106230,-3.7631172e-05,0.00022487513
3.775,0.13638536,fill,10,1000,10,100010,1.3559085e-05,0.00034959729
3.775,0.12396405,6,10,1000,10,100010,-8.6155898e-05,0.00032393715
3.775,0.07946596,2,21.5443,1000,10,100010,-0.00011118442,0.00030694282
3.775,0.05356109,2,46.4159,1000,10,100010,2.0590436e-05,0.00026666834
3.775,0.03610087,2,100,1000,10,100010,5.3893118e-05,0.00018494426
3.775,0.02445457,2,215.443,1000,10,100010,-6.2240441e-05,0.00021378511
3.775,0.0182283,2,464.159,1000,10,100010,-8.7338559e-06,0.00016182247
3.775,0.01531428,3,1000,1000,10,100010,0.00011651188,0.00031480611
3.775,0.01305204,3,2154.43,2154.43,10,314570,-1.519144e-05,0.0002046418
3.775,0.01235791,4,4641.59,4641.59,10,632650,-3.1919202e-05,0.00017095562
3.775,0.01135263,5,10000,10000,10,1799710,-1.8303881e-06,0.00014581286
3.800,0.13345388,fill,10,1000,10,100010,-4.3335367e-05,0.00035871835
3.800,0.11665069,6,10,1000,10,100010,-9.7033227e-05,0.00045947862
3.800,0.08400365,2,21.5443,1000,10,100010,7.9066413e-05,0.00030333185
3.800,0.04493352,2,46.4159,1000,10,100010,1.3397507e-05,0.00013301199
3.800,0.03119342,2,100,1000,10,100010,-2.2297251e-05,0.00011916429
3.800,0.01973598,2,215.443,1000,10,100010,5.2582371e-05,0.00019820896
3.800,0.01365467,2,464.159,1000,10,100010,-7.9742894e-05,0.00021655323
3.800,0.01157466,3,1000,1000,10,100010,-6.7958955e-06,0.00016055091
3.800,0.00961925,3,2154.43,2154.43,10,240270,-4.7701585e-05,0.00016556302
3.800,0.00876128,4,4641.59,4641.59,10,363750,4.2095258e-05,9.4395593e-05
3.800,0.00796442,4,10000,10000,10,1135730,-8.7601427e-06,0.00013753407
3.815,0.12622191,fill,10,1000,10,100010,-0.00012507058,0.00020839413
3.815,0.10562311,3,10,1000,10,100010,0.00014183204,0.00034265145
3.815,0.09749689,2,21.5443,1000,10,100010,0.00011187617,0.00030809043
3.815,0.05607261,2,46.4159,1000,10,100010,-5.5197472e-06,0.00030765076
3.815,0.03205711,2,100,1000,10,100010,-1.6085313e-06,0.00017581759
3.815,0.02008463,2,215.443,1000,10,100010,-1.2778148e-05,0.00016347806
3.815,0.01273808,2,464.159,1000,10,100010,4.4002416e-05,0.00018521365
3.815,0.00881879,2,1000,1000,10,110750,-4.2558689e-05,0.00014902361
3.815,0.00829312,3,2154.43,2154.43,10,165510,3.5711255e-05,0.0001519864
3.815,0.0068171315,fill,10000,10000,10,1000010,-7.1145736e-06,7.8566791e-05
3.815,0.0060978,3,4641.59,4641.59,10,676460,2.0051076e-05,0.00011246443
3.815,0.00526263,5,10000,10000,10,1984810,-1.0626588e-05,0.00012041278
3.825,0.12355752,fill,10,1000,10,100010,7.7767378e-05,0.00028875837
3.825,0.10321059,4,10,1000,10,100010,2.8378008e-05,0.0003063024
3.825,0.06529403,2,21.5443,1000,10,100010,8.5204266e-05,0.0001213181
3.825,0.04506436,2,46.4159,1000,10,100010,-4.2061466e-05,0.00023754696
3.825,0.02759231,2,100,1000,10,100010,4.739929e-05,0.00011534287
3.825,0.01691592,2,215.443,1000,10,100010,4.8559187e-05,0.00015291905
3.825,0.01083597,2,464.159,1000,10,100010,-3.7084905e-05,0.00018821358
3.825,0.0085038,3,1000,1000,10,100010,-7.2621854e-05,0.00018529592
3.825,0.00687376,3,2154.43,2154.43,10,177240,-1.5918925e-05,0.00012651174
3.825,0.0057681,3,4641.59,4641.59,10,326130,-1.7167447e-05,6.8233385e-05
3.825,0.00260712,2,10000,10000,10,3848800,1.4656386e-05,0.00011308339
3.850,0.11421505,fill,10,1000,10,100010,-0.00020666854,0.00033876526
3.850,0.0988608,2,10,1000,10,100010,-0.00014773536,0.0003679761
3.850,0.0636712,2,21.5443,1000,10,100010,-2.1815293e-05,0.0002331313
3.850,0.04100738,2,46.4159,1000,10,100010,3.4132598e-06,0.00015046334
3.850,0.0239427,2,100,1000,10,100010,-6.6100375e-05,0.00017562286
3.850,0.01212699,3,215.443,1000,10,100010,3.554548e-05,0.00013594765
3.850,0.00826466,2,464.159,1000,10,100010,4.2310594e-05,8.0291794e-05
3.850,0.00476227,3,1000,1000,10,111800,8.9837234e-06,7.7022356e-05
3.850,0.00373261,4,2154.43,2154.43,10,171340,-1.2270243e-05,7.6484153e-05
3.850,0.0025044372,fill,10000,10000,10,1000010,4.8557517e-06,2.2144822e-05
3.850,0.00227471,4,4641.59,4641.59,10,423930,-4.0963477e-06,3.9830616e-05
3.850,0.00163685,4,10000,10000,10,1106930,5.0905533e-06,2.8564104e-05
