# Generated by Cursor. 2026-09-12
# Measured (p0,T) covering tau_k=10^{1+k/3}. Glass end is the warmest T with tau_alpha>10000.
# Rows batch=2..6: tauAlpha is longest-tw CRSISF 1/e, q=6.80 (scouting).
# Rows batch=fill: production CRSISF KWW tau_alpha, q=6.7 (kww_global_tau.csv).
# Default l_T1=0.01, N=4096.
p0,T,tauAlphaEst,tauAlpha,waitingTime,batch,how
3.750,0.1507937,10,11.046405,14000,2,nearest
3.750,0.09518981,21.5443,19.06718,14000,2,nearest
3.750,0.05939491,46.4159,42.575974,14000,2,nearest
3.750,0.03830322,100,102.64613,14000,2,nearest
3.750,0.02871607,215.443,229.53149,14000,2,nearest
3.750,0.021317,464.159,509.41663,14000,2,nearest
3.750,0.0173726,1000,1271.0471,13000,2,nearest
3.750,0.01513379,2154.43,3029.3867,28007,2,nearest
3.750,0.01508705,4641.59,4121.997,64982,6,nearest
3.750,0.01499281,10000,11062.247,55699,5,glass_tau>1e4
3.775,0.12396405,10,12.836991,14000,6,nearest
3.775,0.07946596,21.5443,25.16697,14000,2,nearest
3.775,0.05356109,46.4159,44.013571,14000,2,nearest
3.775,0.03610087,100,86.227917,14000,2,nearest
3.775,0.02445457,215.443,191.06617,14000,2,nearest
3.775,0.0182283,464.159,492.67113,14000,2,nearest
3.775,0.01531428,1000,961.89445,14000,3,nearest
3.775,0.01305204,2154.43,3145.6921,28007,3,nearest
3.775,0.01235791,4641.59,6326.4018,60341,4,nearest
3.775,0.01135263,10000,17997.039,130000,5,glass_tau>1e4
3.800,0.11665069,10,12.937669,14000,6,nearest
3.800,0.08400365,21.5443,20.566844,14000,2,nearest
3.800,0.04493352,46.4159,51.787615,14000,2,nearest
3.800,0.03119342,100,89.989338,14000,2,nearest
3.800,0.01973598,215.443,209.85236,14000,2,nearest
3.800,0.01365467,464.159,562.61883,14000,2,nearest
3.800,0.01157466,1000,940.49738,14000,3,nearest
3.800,0.00961925,2154.43,2402.6213,28007,3,nearest
3.800,0.00876128,4641.59,3637.4542,60341,4,nearest
3.800,0.00796442,10000,11357.293,130000,4,glass_tau>1e4
3.815,0.10562311,10,14.329865,14000,3,nearest
3.815,0.09749689,21.5443,14.837529,14000,2,nearest
3.815,0.05607261,46.4159,35.626039,14000,2,nearest
3.815,0.03205711,100,84.04122,14000,2,nearest
3.815,0.02008463,215.443,176.27197,14000,2,nearest
3.815,0.01273808,464.159,486.5887,14000,2,nearest
3.815,0.00881879,1000,1107.4787,13000,2,nearest
3.815,0.00829312,2154.43,1655.0216,30162,3,nearest
3.815,0.0060978,4641.59,6764.5593,140000,3,nearest
3.815,0.00526263,10000,19848.027,130000,5,glass_tau>1e4
3.825,0.10321059,10,13.561416,14000,4,nearest
3.825,0.06529403,21.5443,25.247887,14000,2,nearest
3.825,0.04506436,46.4159,44.363454,14000,2,nearest
3.825,0.02759231,100,92.136563,14000,2,nearest
3.825,0.01691592,215.443,199.98197,14000,2,nearest
3.825,0.01083597,464.159,498.27872,14000,2,nearest
3.825,0.0085038,1000,903.121,14000,3,nearest
3.825,0.00687376,2154.43,1772.3767,30162,3,nearest
3.825,0.0057681,4641.59,3261.2684,64982,3,nearest
3.825,0.00260712,10000,38487.951,23208,2,glass_tau>1e4
3.850,0.0988608,10,12.590682,14000,2,nearest
3.850,0.0636712,21.5443,24.982781,14000,2,nearest
3.850,0.04100738,46.4159,41.608234,14000,2,nearest
3.850,0.0239427,100,80.410784,14000,2,nearest
3.850,0.01212699,215.443,240.22695,14000,3,nearest
3.850,0.00826466,464.159,432.04087,14000,2,nearest
3.850,0.00476227,1000,1117.9275,30162,3,nearest
3.850,0.00373261,2154.43,1713.3207,28007,4,nearest
3.850,0.00227471,4641.59,4239.2383,60341,4,nearest
3.850,0.00163685,10000,11069.278,130000,4,glass_tau>1e4
3.750,0.16952498,10,23.1812,10000,fill,logT_mean_slope
3.750,0.016527131,4641.59,5090.48,46416,fill,1/T_kww_segment
3.775,0.13638536,10,27.6494,10000,fill,logT_prodKWW_scout1e
3.800,0.13345388,10,26.6032,10000,fill,logT_prodKWW_scout1e
3.815,0.12622191,10,28.66,10000,fill,logT_prodKWW_scout1e
3.815,0.0068171315,10000,13070,100000,fill,1/T_kww_segment
3.825,0.12355752,10,28.1315,10000,fill,logT_prodKWW_scout1e
3.850,0.11421505,10,29.1458,10000,fill,logT_mean_slope
3.850,0.0025044372,10000,11294.3,100000,fill,1/T_kww_segment
