p0,T,waitingTime,tauAlpha,batch
3.750,0.1507937,14000,11.046405,2
3.750,0.09518981,14000,19.06718,2
3.750,0.05939491,14000,42.575974,2
3.750,0.03830322,14000,102.64613,2
3.750,0.02871607,14000,229.53149,2
3.750,0.021317,14000,509.41663,2
3.750,0.01750172,13000,1351.8962,3
3.750,0.0173726,13000,1271.0471,2
3.750,0.01593991,25853,3200.7528,4
3.750,0.01513379,28007,3029.3867,2
3.750,0.01479003,60341,8698.0047,4
3.750,0.01454034,23699,6408.5954,3
3.750,0.01379935,120000,18286.018,4
3.750,0.01345518,55699,12502.361,2
3.750,0.01243609,46416,20107.401,3
3.750,0.01233005,70000,74232.675,2
3.750,0.01086389,60000,70508.387,3
3.775,0.11789975,14000,14.798104,2
3.775,0.07946596,14000,25.16697,2
3.775,0.05356109,14000,44.013571,2
3.775,0.03610087,14000,86.227917,2
3.775,0.02445457,14000,191.06617,2
3.775,0.0182283,14000,492.67113,2
3.775,0.01531428,14000,961.89445,3
3.775,0.01410022,13000,1214.7437,2
3.775,0.01305204,28007,3145.6921,3
3.775,0.01235791,60341,6326.4018,4
3.775,0.01148049,21544,8118.305,2
3.775,0.01137213,60341,8749.2375,3
3.775,0.01126058,130000,18909.786,4
3.775,0.01007535,90000,49654.313,3
3.775,0.00957161,51057,17631.21,2
3.775,0.00843176,110000,39639.558,2
3.800,0.16398067,14000,1.8333729,3
3.800,0.09830474,14000,16.399367,4
3.800,0.08400365,14000,20.566844,2
3.800,0.06198152,14000,28.543618,2
3.800,0.04493352,14000,51.787615,2
3.800,0.03119342,14000,89.989338,2
3.800,0.01973598,14000,209.85236,2
3.800,0.01365467,14000,562.61883,2
3.800,0.01157466,14000,940.49738,3
3.800,0.00996505,13000,1710.8261,2
3.800,0.00961925,28007,2402.6213,3
3.800,0.00876128,60341,3637.4542,4
3.800,0.00822905,60341,7482.4322,3
3.800,0.00796442,130000,11357.293,4
3.800,0.00718994,120000,26417.939,3
3.800,0.00704038,17235,13960.3,2
3.800,0.00535426,27850,27696.766,2
3.800,0.00422529,70000,74730.096,2
3.815,0.16265453,14000,1.901597,2
3.815,0.10562311,14000,14.329865,3
3.815,0.09749689,14000,14.837529,2
3.815,0.05607261,14000,35.626039,2
3.815,0.03205711,14000,84.04122,2
3.815,0.02008463,14000,176.27197,2
3.815,0.01273808,14000,486.5887,2
3.815,0.01011368,13000,899.44339,3
3.815,0.00881879,13000,1107.4787,2
3.815,0.00829312,30162,1655.0216,3
3.815,0.00702801,60341,3168.9775,3
3.815,0.0060978,140000,6764.5593,3
3.815,0.00590473,23699,6798.4699,2
3.815,0.00417946,37133,25084.822,2
3.815,0.00297748,40000,92192.591,2
3.825,0.15936938,14000,1.8504241,3
3.825,0.10321059,14000,13.561416,4
3.825,0.09228032,14000,17.631655,2
3.825,0.06529403,14000,25.247887,2
3.825,0.04506436,14000,44.363454,2
3.825,0.02759231,14000,92.136563,2
3.825,0.01691592,14000,199.98197,2
3.825,0.01083597,14000,498.27872,2
3.825,0.0085038,14000,903.121,3
3.825,0.00687376,30162,1772.3767,3
3.825,0.00683658,13000,1661.8606,2
3.825,0.0057681,64982,3261.2684,3
3.825,0.00496885,130000,9748.753,3
3.825,0.00418735,21544,8944.9269,2
3.825,0.00260712,23208,38487.951,2
3.825,0.00172962,40000,92669.819,2
3.850,0.0988608,14000,12.590682,2
3.850,0.0636712,14000,24.982781,2
3.850,0.04100738,14000,41.608234,2
3.850,0.0239427,14000,80.410784,2
3.850,0.01667554,14000,143.53327,2
3.850,0.01212699,14000,240.22695,3
3.850,0.00826466,14000,432.04087,2
3.850,0.005971,14000,809.09116,3
3.850,0.00495084,13000,1353.8929,2
3.850,0.00476227,30162,1117.9275,3
3.850,0.00396053,64982,1704.5878,3
3.850,0.00373261,28007,1713.3207,4
3.850,0.00338984,140000,3251.3105,3
3.850,0.00257217,28007,3696.0873,2
3.850,0.00227471,60341,4239.2383,4
3.850,0.00163685,130000,11069.278,4
3.850,0.00138085,51057,16610.631,2
3.850,0.000825,110000,29733.243,2
