p0,T,batch,tauAlphaEst,tauBlock,tCut,nSamp,sigmaXY_mean
3.750,0.1507937,2,10,1000,10000,5001,-0.00031424984
3.750,0.09518981,2,21.5443,1000,10000,5001,4.645581e-05
3.750,0.05939491,2,46.4159,1000,10000,5001,-6.9172066e-05
3.750,0.03830322,2,100,1000,10000,5001,0.0002639141
3.750,0.02871607,2,215.443,1000,10000,5001,-7.2963066e-05
3.750,0.021317,2,464.159,1000,10000,5001,-6.4469373e-05
3.750,0.01750172,3,1000,1000,10000,5001,-0.0002852575
3.750,0.0173726,2,1000,1000,10000,5001,-4.618735e-05
3.750,0.01593991,4,2154.43,2154.43,21544.3,10772,-1.4989967e-05
3.750,0.01513379,2,2154.43,2154.43,21544.3,10772,8.580823e-05
3.750,0.01479003,4,4641.59,4641.59,46415.9,23208,0.00024733233
3.750,0.01454034,3,2154.43,2154.43,21544.3,10772,5.1811265e-05
3.750,0.01379935,4,10000,10000,100000,50001,-0.00020223012
3.750,0.01345518,2,4641.59,4641.59,46415.9,23208,-0.00056932424
3.750,0.01243609,3,4641.59,4641.59,46415.9,23208,0.00010256195
3.750,0.01233005,2,10000,10000,100000,50001,-0.00040198435
3.750,0.01086389,3,10000,10000,100000,50001,8.3471051e-05
3.775,0.11789975,2,10,1000,10000,5001,-0.00041052083
3.775,0.07946596,2,21.5443,1000,10000,5001,-0.00035942287
3.775,0.05356109,2,46.4159,1000,10000,5001,1.4857542e-07
3.775,0.03610087,2,100,1000,10000,5001,0.00017494035
3.775,0.02445457,2,215.443,1000,10000,5001,-1.7608835e-05
3.775,0.0182283,2,464.159,1000,10000,5001,-0.00017134899
3.775,0.01531428,3,1000,1000,10000,5001,0.00015260878
3.775,0.01410022,2,1000,1000,10000,5001,-0.0003868568
3.775,0.01305204,3,2154.43,2154.43,21544.3,10772,5.5669891e-05
3.775,0.01235791,4,4641.59,4641.59,46415.9,23208,-7.3506727e-05
3.775,0.01148049,2,2154.43,2154.43,21544.3,10772,-2.0392834e-05
3.775,0.01137213,3,4641.59,4641.59,46415.9,23208,-0.00030487597
3.775,0.01126058,4,10000,10000,100000,50001,0.0002000155
3.775,0.01007535,3,10000,10000,100000,50001,-0.00040141136
3.775,0.00957161,2,4641.59,4641.59,46415.9,23208,0.00031224195
3.775,0.00843176,2,10000,10000,100000,50001,-0.00028654577
3.800,0.16398067,3,10,1000,10000,5001,-0.00033761146
3.800,0.09830474,4,10,1000,10000,5001,0.00041768855
3.800,0.08400365,2,10,1000,10000,5001,-0.00043572748
3.800,0.06198152,2,21.5443,1000,10000,5001,3.4705472e-05
3.800,0.04493352,2,46.4159,1000,10000,5001,-0.00014171535
3.800,0.03119342,2,100,1000,10000,5001,6.4138173e-05
3.800,0.01973598,2,215.443,1000,10000,5001,-3.4358418e-05
3.800,0.01365467,2,464.159,1000,10000,5001,0.00031224568
3.800,0.01157466,3,1000,1000,10000,5001,-2.8675275e-05
3.800,0.00996505,2,1000,1000,10000,5001,-1.1432752e-05
3.800,0.00961925,3,2154.43,2154.43,21544.3,10772,6.6544427e-05
3.800,0.00876128,4,4641.59,4641.59,46415.9,23208,-0.00016100187
3.800,0.00822905,3,4641.59,4641.59,46415.9,23208,-2.9811088e-05
3.800,0.00796442,4,10000,10000,100000,50001,3.2600684e-06
3.800,0.00718994,3,10000,10000,100000,50001,0.00044324749
3.800,0.00704038,2,2154.43,2154.43,21544.3,10772,0.00027083333
3.800,0.00535426,2,4641.59,4641.59,46415.9,23208,-0.0002165182
3.800,0.00422529,2,10000,10000,100000,50001,-9.1017274e-05
3.815,0.16265453,2,10,1000,10000,5001,-0.00027163098
3.815,0.10562311,3,10,1000,10000,5001,-0.00031087569
3.815,0.09749689,2,21.5443,1000,10000,5001,-0.00026965078
3.815,0.05607261,2,46.4159,1000,10000,5001,-0.00030548636
3.815,0.03205711,2,100,1000,10000,5001,-0.00015095422
3.815,0.02008463,2,215.443,1000,10000,5001,0.00040222027
3.815,0.01273808,2,464.159,1000,10000,5001,-0.00016432785
3.815,0.01011368,3,1000,1000,10000,5001,0.00011145648
3.815,0.00881879,2,1000,1000,10000,5001,-0.00058336842
3.815,0.00829312,3,2154.43,2154.43,21544.3,10772,-0.00016658091
3.815,0.00702801,3,4641.59,4641.59,46415.9,23208,0.00011880551
3.815,0.0060978,3,10000,10000,100000,50001,8.2738297e-05
3.815,0.00590473,2,2154.43,2154.43,21544.3,10772,-0.00031207434
3.815,0.00417946,2,4641.59,4641.59,46415.9,23208,-9.7773024e-05
3.815,0.00297748,2,10000,10000,100000,50001,0.00011501463
3.825,0.15936938,3,10,1000,10000,5001,-0.00031493415
3.825,0.10321059,4,10,1000,10000,5001,-0.00021861262
3.825,0.09228032,2,10,1000,10000,5001,-0.001053993
3.825,0.06529403,2,21.5443,1000,10000,5001,0.00014761953
3.825,0.04506436,2,46.4159,1000,10000,5001,0.00015877837
3.825,0.02759231,2,100,1000,10000,5001,0.00018988497
3.825,0.01691592,2,215.443,1000,10000,5001,0.00015048016
3.825,0.01083597,2,464.159,1000,10000,5001,0.00041753231
3.825,0.0085038,3,1000,1000,10000,5001,1.5876107e-06
3.825,0.00687376,3,2154.43,2154.43,21544.3,10772,-0.00014618654
3.825,0.00683658,2,1000,1000,10000,5001,-0.00013655233
